#名前,職,index
ラントカルテ,F,246
フラッグス,F,247
ベル・クラネル,F,248
リュー・リオン,F,249
ベル・クラネル,F,250
ヴェルフ・クロッゾ,F,251
リヴェラ,F,252
ロボピッチャ,F,253
SC-3000,F,254
大神一郎,F,255
真宮寺さくら,F,256
神崎すみれ,F,257
桐島カンナ,F,258
ガジジナ,F,259
ギザザヤ,F,260
アメリー,F,261
ザエル,F,262
神崎すみれ,F,263
桐島カンナ,F,264
真宮寺さくら,F,265
どんちゃん,F,266
ゼファル,F,267
バラクーダ,F,268
ルーラ,F,269
ラブラ,F,270
佐倉杏子,F,271
# 3部,,
ヘリオス,F,272
エシャル,F,273
アマツ,F,274
# 設定ミスで275欠番,,
ベルナデット,F,276
イオ,F,277
ネリー,F,278
ハーフィズ,F,279
ユキノジョウ,F,280
イッシキ,F,281
ヘリオス,F,282
エシャル,F,283
アマツ,F,284
スカラデン,F,285
シドビビ,F,286
ゼルマ,F,287
ガンドル,F,288
サナム,F,289
テンペスタ,F,290
ツバキ,F,291
シュカ,F,292
ミユキ,F,293
ヨシカゲ,F,294
アシュリナ,F,295
アラム,F,296
ジョーカー,F,297
スカル,F,298
フォックス,F,299
ヴォルグ,F,300
レミラ,F,301
ユニ,F,302
ケマミレ,F,303
カズマ,F,304
ペイシェ,F,305
ムスタファ,F,306
ズヴィアド,F,307
ファルズフ,F,308
エリス,F,309
ミシマ,F,310
おじさん,F,311
エレン・イェーガー,F,312
リヴァイ,F,313
ミカサ・アッカーマン,F,314
アルミン・アルレルト,F,315
ラール,F,316
イブキ,F,317
ツル,F,318
アンジェリカ,F,319
バルドル,F,320
水無月遥,F,321
天月めぐる,F,322
如月すみれ,F,323
リディア,F,324
アラム,F,325
ケマミレ,F,326
ソル＝バッドガイ,F,327
シン＝キスク,F,328
梅喧,F,329
蔵土縁紗夢,F,330
ジャック・オー,F,331
ミーム,F,332
シルヴァ,F,333
イヌチヨ,F,334
ヒザルビン,F,335
ヨシノ,F,336
オボロ,F,337
カゲロウ,F,338
キリエ・フローリアン,F,339
アルドラ,F,340
ロロ,F,341
ジンラン,F,342
,,
,,
,,
セルバンテス,K,1
ベアトリクス,K,2
アントン,K,3
ハーマン,K,4
バクストン,K,5
ロベルタ,K,6
カイン,K,7
ナックル,K,8
ギスゴ,K,9
エリーナ,K,10
ルアンナ,K,11
アルベルト,K,12
メリッサ,K,13
ラヒーム,K,14
ラビィ,K,15
カディル,K,16
マリス,K,17
ライネル,K,18
スレイ,K,19
オデット,K,20
カイ,K,21
トーマス,K,22
フィーンド,K,23
ダナディ,K,24
ファン＝ファン,K,25
ムスタファ,K,26
イルヘルミナ,K,27
アルヴェルト,K,28
ローエンディア,K,29
女騎士,K,30
直継,K,31
クラスティ,K,32
ゴトリ,K,33
ザレン,K,34
スティッチア,K,35
アレス,K,36
シンフォニア,K,37
ユリアナ,K,38
ジャファール,K,39
バリエナ,K,40
リフレット,K,41
フィー・グレア,K,42
パーシェル,K,43
ウェイン,K,44
ディード,K,45
ミリエル,K,46
オーロラ,K,47
ロロ,K,48
オルドレード,K,49
カデッサ,K,50
カイン,K,51
オルカ,K,52
オルデル,K,53
ペローラ,K,54
ネブリナ,K,55
リフレット,K,56
カナーン,K,57
モルガン,K,58
ティア,K,59
ヴィオレッタ,K,60
アブエロ,K,61
リュキシー,K,62
レアーオ,K,63
パメラス,K,64
セラカ,K,65
カリファ,K,66
ラウラ,K,67
ドリームキャスト,K,68
フロガビトゥス,K,69
ファルナーズ,K,70
ヴェスパ,K,71
レミラ,K,72
リノセ,K,73
ミノア,K,74
レリアン,K,75
ソール,K,76
ディード,K,77
ジェラルド,K,78
レオン,K,79
ローゼマリー,K,80
メリオダス,K,81
ギルサンダー,K,82
ルーノ,K,83
ラビィ,K,84
ガーランド,K,85
アト,K,86
ナックル,K,87
カル,K,88
バスマ,K,89
ロサビス,K,90
シンフォニア,K,91
ローエンディア,K,92
シュゾン,K,93
エクセラ,K,94
ゲオルグ,K,95
ソニア,K,96
レスティ,K,97
ソニア,K,98
フェーベ,K,99
エレメンガルト,K,100
ケーテ,K,101
ディートリンデ,K,102
フロレンツィア,K,103
フリードリッヒ,K,104
オティーリエ,K,105
アンチェ,K,106
アニヤ,K,107
アレックス,K,108
カーヤ,K,109
ツィスカ,K,110
ライラック,K,111
ステルク,K,112
リース,K,113
ツァーリ14世,K,114
ミンミ,K,115
シリル,K,116
エイラ,K,117
エステル,K,118
クローゼ,K,119
アガット,K,120
ユリアナ,K,121
リフレット,K,122
ローエンディア,K,123
セルベリア,K,124
ユリアナ,K,125
セレン,K,126
アストライア,K,127
ガシャ,K,128
アミーナ,K,129
リズベル,K,130
カロラッカ,K,131
スピラト,K,132
シウロン,K,133
チムニィ,K,134
ランスバーン,K,135
モルバ,K,136
ヴァッサー,K,137
ジルヴェスター,K,138
アイズ・ヴァレンシュタイン,K,139
ジュリア,K,140
黒騎士,K,141
ユリアナ,K,142
ベルヴィード,K,143
シンフォニア,K,144
レニ・ミルヒシュトラーセ,K,145
レニ・ミルヒシュトラーセ,K,146
キャメロウ,K,147
バグリス,K,148
トゥキファト,K,149
美樹さやか,K,150
# 3部,,
セレステ,K,151
ケマイエス,K,152
クーシャン,K,153
セレステ,K,154
クーシャン,K,155
エミリアン,K,156
ナウラ,K,157
ユニカ,K,158
イヴェルタ,K,159
カイン,K,160
ペローラ,K,161
エメライン,K,162
クイーン,K,163
プアア,K,164
ダクネス,K,165
ルアンナ,K,166
パーシェル,K,167
フローリア,K,168
エレッタ,K,169
サナオーリア,K,170
バリエナ,K,171
ダナディ,K,172
マウリッツ,K,173
ベルダッド,K,174
エレクシィ,K,175
ロベルタ,K,176
カイ＝キスク,K,177
テレサ,K,178
ファガル,K,179
アレス,K,180
モルガン,K,181
メリチェル,K,182
ミズクン,K,183
,,
,,
,,
,,
ミシディア,A,1
オットー,A,2
サビオ,A,3
パトリシア,A,4
ワーグマン,A,5
ミル,A,6
シェダ,A,7
コロナ,A,8
フェイスレス,A,9
キリエ,A,10
エマ,A,11
ニキ,A,12
エンヴィ,A,13
チャム＝チャム,A,14
ヤーウッド,A,15
ティフォ,A,16
リーニャ,A,17
クラリス,A,18
フィリップ,A,19
ウィリアム＝マサチューセッツ,A,20
イッシー,A,21
オネット,A,22
カルネロ,A,23
アルミルス,A,24
ムジカ,A,25
サーシャ,A,26
ハジャダ,A,27
ファルリン,A,28
ブリサ,A,29
カタリス,A,30
ニーナ,A,31
ティグレ,A,32
パロマ,A,33
アルティナ,A,34
グレタ,A,35
ルクレチア,A,36
ソロ,A,37
ミシディア,A,38
アレグリア,A,39
ボニート,A,40
タンボリル,A,41
パトリシア,A,42
オルオレータ,A,43
バルトロ,A,44
ミラ,A,45
コンスタンサ,A,46
シャントゥール,A,47
ヴィクトリア,A,48
マリアン,A,49
ラルダ,A,50
ダビド,A,51
ジャン,A,52
リスフィン,A,53
コネリ,A,54
苗木こまる,A,55
十神白夜,A,56
シュラッカ,A,57
アリサ,A,58
トワ,A,59
クレア,A,60
クルルア,A,61
ビゾゾエ,A,62
コルルリ,A,63
メリオ,A,64
ズイハ,A,65
アイレ,A,66
タリビク,A,67
ザイド,A,68
ヨイチ,A,69
マスターシステム,A,70
タチアナ,A,71
アリシア,A,72
ボムボマー,A,73
ドーリィ,A,74
セスト,A,75
キース,A,76
エレオノーラ,A,77
アンセルム,A,78
ゼハティ,A,79
サンディ,A,80
ザカリー,A,81
セガ・マークIII,A,82
フェイスレス,A,83
オーガスタス,A,84
モルシェラ,A,85
キャンディス,A,86
アン,A,87
パルゥ,A,88
ホルスト,A,89
ヨハンナ,A,90
ユディト,A,91
マリオン,A,92
キリカ,A,93
キリカ,A,94
ハンネス,A,95
オリヴィア,A,96
エーリヒ,A,97
ランドルフ,A,98
ミリヤム,A,99
イリーネ,A,100
レーネ,A,101
エッケハルト,A,102
クーデリア,A,103
スピリオーナ,A,104
リーニャ,A,105
レノ,A,106
イシュチェル,A,107
シェキナ,A,108
ズフラス,A,109
オリビエ,A,110
ティータ,A,111
アリシア,A,112
リエラ,A,113
ウェルキン,A,114
イーディ,A,115
クルト,A,116
チェイス,A,117
グール＝ヴール,A,118
カラ,A,119
トリッシュ,A,120
ダスク,A,121
バッカス,A,122
フォンダ,A,123
チチカ,A,124
スカーレット,A,125
ノスリ,A,126
キウル,A,127
ラザニル,A,128
アシュリー,A,129
ヴィドック,A,130
グリゼルディス,A,131
ギーゼラ,A,132
メディア,A,133
ファクト,A,134
リリルカ・アーデ,A,135
ヤマト・命,A,136
グラシア,A,137
ジェネシス,A,138
マリア・タチバナ,A,139
李紅蘭,A,140
エンヴィ,A,141
キサ,A,142
李紅蘭,A,143
マリア・タチバナ,A,144
# 3部,,
イスマイル,A,145
ヌヴィエム,A,146
シェロム,A,147
ウワイジュ,A,148
レサーカ,A,149
シャディア,A,150
ジーメオン,A,151
ラーナ,A,152
オリュミーナ,A,153
オヅミ,A,154
マナワ,A,155
シャディア,A,156
ミシディア,A,157
パンサー,A,158
ノワール,A,159
リーニャ,A,160
モナミ,A,161
ドロッセル,A,162
セシル,A,163
エバノ,A,164
ナフヴァム,A,165
ファルリン,A,166
少年,A,167
サシャ・ブラウス,A,168
エイルニルス,A,169
パトリシア,A,170
ミズギタリ,A,171
神無月葵,A,172
葉月クルミ,A,173
エルフェルト＝ヴァレンタイン,A,174
レインリット,A,175
シェダ,A,176
アミティエ・フローリアン,A,177
ミユキ,A,178
ヴィドック,A,179
シャーロット,A,180
デューク,A,181
,,
,,
,,
,,
,,
,,
カトリ,P,1
マリナ,P,2
ローザ,P,3
ラティ,P,4
ケイト,P,5
メルヴィナ,P,6
ヨハン,P,7
ロイ,P,8
ミノリ,P,9
ウィヴェア,P,10
セレージャ,P,11
ヴァネッサ,P,12
ライラ,P,13
パポラ,P,14
オリアーナ,P,15
アデル,P,16
アリエッタ,P,17
ノエル,P,18
メイド長,P,19
スミレ,P,20
マリエール,P,21
タノウェイ,P,22
ヘロディア,P,23
フィーナ,P,24
リリス,P,25
メイド姉,P,26
アオイ,P,27
マリナ,P,28
フロル,P,29
アメリア,P,30
ハンジ,P,31
マール,P,32
アーシャ,P,33
トレランシア,P,34
腐川冬子,P,35
ビジュアルメモリ,P,36
エリオット,P,37
フリリム,P,38
ミリリア,P,39
リヒト,P,40
エリシャ,P,41
ヴィリヘルム ,P,42
エリザベス,P,43
ノエル,P,44
トア,P,45
テラ,P,46
ルイ,P,47
ハグ,P,48
ティリス,P,49
アリエッタ,P,50
フィーナ,P,51
ヨアヒム,P,52
リンナ,P,53
ビアンカ,P,54
ラース,P,55
エンクウ,P,56
ケイナ,P,57
シャルロット,P,58
シジマ,P,59
レンレ,P,60
フィシ,P,61
ギュネス,P,62
リーア,P,63
ミラベル,P,64
イングリス,P,65
モナミ,P,66
トゥキリス,P,67
マハリシ,P,68
クオン,P,69
ルルティエ,P,70
スウ,P,71
トーガ,P,72
メルルダ,P,73
ヘロディア,P,74
ヘスティア,P,75
アイリス,P,76
ユーフィス,P,77
アイリス,P,78
ジークルーン,P,79
百江なぎさ,P,80
# 3部,,
アリエル,P,81
リューリィ,P,82
シーシャン,P,83
トロメア,P,84
デルフィーナ,P,85
シーシャン,P,86
ジェンター,P,87
バルーフ,P,88
タウィーラ,P,89
メーリア,P,90
アベータ,P,91
フィーナ,P,92
モナ,P,93
ナビ,P,94
マリナ,P,95
アクア,P,96
アクア,P,97
おばさん,P,98
クリスタ・レンズ,P,99
ニール,P,100
ウィヴェア,P,101
ロスカァ,P,102
アリエッタ,P,103
ザルブリス,P,104
リリス,P,105
クズノハ,P,106
ラティ,P,107
,,
,,
,,
ヨッタ＝ヨッタ,M,1
クリスティン,M,2
ゲッベルツ,M,3
ミーナ,M,4
カルデア,M,5
チャーノ,M,6
ハキム,M,7
リーゼロッテ,M,8
パルナ,M,9
プルナ,M,10
シエン,M,11
ゴルネッサ,M,12
クラウス,M,13
ミニモ,M,14
トト,M,15
フィオナ,M,16
ビルギット,M,17
ネルヴァ,M,18
アイザック,M,19
ウーヴィア,M,20
ヨナ,M,21
ルンデルハウス＝コード,M,22
マリク,M,23
ディ・ロ,M,24
メラヒム,M,25
ロクサーナ,M,26
パボア,M,27
フィ＝フィ,M,28
シャクティ,M,29
フェブリア,M,30
ミラジェン,M,31
アイリ,M,32
ナイエル,M,33
クリオラ,M,34
エレミア,M,35
ビエンタ,M,36
イザヤ,M,37
リック,M,38
火竜公女,M,39
ルカナ,M,40
レベッカ,M,41
ミイナ,M,42
ブルワリー,M,43
フィリアナ,M,44
シューレ,M,45
アエル・グルン,M,46
イスレム,M,47
アルドラ,M,48
ヴェルナー,M,49
カティア,M,50
ユニ,M,51
メフルナーシュ,M,52
イザベル,M,53
チアリー,M,54
カレン,M,55
ミスティ,M,56
魔王,M,57
ロビン,M,58
シロエ,M,59
フラウ,M,60
チワ,M,61
ミジョカ,M,62
ラスフィア,M,63
ハティ,M,64
ハティファス,M,65
イナミ,M,66
サーポ,M,67
ステラ,M,68
ミドア,M,69
クラウディア,M,70
ベラ,M,71
ユカチ,M,72
ソリティー,M,73
ヘリシティー,M,74
アラクネー,M,75
メレディス,M,76
ジーナ,M,77
ハヴェル,M,78
エスカ,M,79
シャリステラ,M,80
ウィルベル,M,81
メガドライブ,M,82
セガサターン,M,83
ゲームギア,M,84
シャーリー,M,85
キャス,M,86
エフィメラ,M,87
シェスメト,M,88
ニュガガス,M,89
ニリリス,M,90
パモモイ,M,91
ユルルガ,M,92
ニコル,M,93
ユミコ,M,94
ドゥルセ,M,95
ファルベ,M,96
パルマー,M,97
エールイ,M,98
カミラ,M,99
キング,M,100
イザヤ,M,101
ビエンタ,M,102
ミニモ,M,103
クララ,M,104
シャウナ,M,105
アルフィン,M,106
コラール,M,107
ピピ,M,108
ファティマ,M,109
リン,M,110
ピノ,M,111
セト,M,112
ラナ,M,113
ザラ,M,114
ドリ,M,115
ロズ,M,116
サニ,M,117
ケナ,M,118
ジズ,M,119
シナ,M,120
キア,M,121
フイ,M,122
ナリ,M,123
チル,M,124
ラス,M,125
ネノ,M,126
カヌ,M,127
フリーダ,M,128
タクリタン,M,129
レガレ,M,130
アルドラ,M,131
ルナリス,M,132
ヴェルナー,M,133
ユニ,M,134
エレミア,M,135
クズノハ,M,136
フリージア,M,137
テルー,M,138
シュガー,M,139
トトリ,M,140
メルル,M,141
ロロナ,M,142
ロロナ,M,143
ナナイ,M,144
キララネ,M,145
ソフィー,M,146
ポポイ,M,147
アンジェラ,M,148
オデッセイア,M,149
メッテイヤ,M,150
キャロル,M,151
タピール,M,152
アトノア,M,153
レン,M,154
ヴェルナー,M,155
カティア,M,156
ユニ,M,157
マスカルウィン,M,158
ペレキュデス,M,159
シヴァーニ,M,160
シャニ,M,161
エティス,M,162
レイチェル・アナスタシア,M,163
ストラッセ,M,164
アステリア,M,165
リージス,M,166
アドベック,M,167
エルダー,M,168
ネコネ,M,169
フロワ,M,170
ゲッベルツ,M,171
イド,M,172
ケテ,M,173
ムニ,M,174
フィーナ,M,175
トルウァトス,M,176
ルククア,M,177
リーゼロッテ,M,178
ミアセラ,M,179
ヤシュム,M,180
メガドライブ２,M,181
メルティオール,M,182
ディルマ,M,183
トリスメギストス,M,184
ファティマ,M,185
スケルトンセガサターン,M,186
ザロビ,M,187
ソレッタ・織姫,M,188
ソレッタ・織姫,M,189
アルティメットまどか,M,190
悪魔ほむら,M,191
巴マミ,M,192
暁美ほむら,M,193
# 3部,,
アリーチェ,M,194
ウガガラ,M,195
リゲル,M,196
ドウマ,M,197
ミロスラフ,M,198
トビアス,M,199
コドロ,M,200
アリーチェ,M,201
ベルタ,M,202
カーリン,M,203
ヒトリ,M,204
フランジア,M,205
ミリー,M,206
エステバン,M,207
イフサーン,M,208
ベルタ,M,209
スフラトゥス,M,210
エレミア,M,211
モニカ,M,212
ヒトリ,M,213
フラット,M,214
アイリ,M,215
めぐみん,M,216
ウィズ,M,217
ゆんゆん,M,218
レイリー,M,219
シューレ,M,220
エイレヌス,M,221
フィリアナ,M,222
クニアリ,M,223
カーリン,M,224
クロテッド,M,225
バスチアン,M,226
チャーノ,M,227
フェブリア,M,228
ディズィー,M,229
クラウス,M,230
カティア,M,231
高町なのは,M,232
フェイト・Ｔ・ハラオウン,M,233
八神はやて,M,234
高町なのは,M,235
イリス,M,236
ビエンタ,M,237
,,
,,
,,
,,
,,
,,
,,
,,
,,
#end,,
