#名前,職,index,キャラタイプ,リンクコード,称号,レア度,コスト,絆コスト,武器属性,入手先・分類,入手先,声優,イラストレーター,所属,職業,最大ATK,最大HP,限界ATK,限界HP,Wiki名
カミナヅキ,F,58,first,,剣豪太夫,5,18,4,Sl,yggd,volcano,小清水 亜美,柴乃櫂人,volcano,MasterFencer,7240,6240,9240,8240,
テレサ,F,59,first,,殺戮の剣聖,5,17,4,Sl,yggd,guildtown,佐倉 綾音,ワダアルコ,guildtown,SwordMaster,7100,6480,9100,8480,
チヨメ,F,60,first,,壱領忍衆頭目,5,17,4,Sl,yggd,volcano,小岩井 ことり,mamuru,volcano,Shinobi,6960,5940,8960,7940,
ヨシノ,F,61,first,,姫剣豪,5,17,4,Sl,yggd,volcano,内田 真礼,クロサワテツ,volcano,MasterFencer,6850,6200,8850,8200,
ソーニャ,F,62,first,,火焔の剣士,5,17,4,Sl,yggd,volcano,佐倉 綾音,竜徹,volcano,RuneFencer,6800,6300,8800,8300,
ボクデン,F,63,first,,老剣豪,5,17,4,Sl,yggd,volcano,石田 彰,Cervus,volcano,MasterFencer,6700,6100,8700,8100,
サプラス,F,64,demon,,滋養の魔神,5,17,4,Sl,event,demon,野中 藍,ワダアルコ,demon,Demon,4800,5000,8600,9000,
ミーム,F,65,first,,防衛委員長,5,17,4,Bl,yggd,guildtown,小岩井 ことり,ともひと,guildtown,Smith,6370,6750,8370,8750,
セリーヌ,F,66,first,,ギルド同盟副議長,5,16,4,Pi,event,score,内田 真礼,HACCAN,guildtown,SwordMaster,4600,4900,10200,8300,
コロパティロン,F,67,demon,,牢獄の魔神,5,16,4,Bl,event,demon,小岩井 ことり,柴乃櫂人,demon,Demon,5540,5840,8540,8840,
ヨルデ,F,68,first,,刀匠,5,16,4,Sl,yggd,mountain,内田 真礼,竜徹,mountain,Smith,6500,6100,8500,8100,
キキ,F,69,first,,ぬるい炎,5,16,4,Sl,yggd,mountain,内田 真礼,村山竜大,mountain,Fighter,6450,6250,8450,8250,
ロレッタ,F,70,first,,破壊魔人,5,16,4,Bl,yggd,guildtown,小岩井 ことり,萩谷薫,guildtown,Merchant,6400,6400,8400,8400,
ニンファ,F,71,first,,強運の戦士,5,16,4,Sl,yggd,guildtown,内田 真礼,煎茶,guildtown,Warrior,6170,6170,8170,8170,
リンセ,F,72,first,,山猫の使い,5,16,4,Sl,random,coin,小岩井 ことり,Nardack,forest,Fighter,5620,5620,7620,7620,
フーコ,F,73,first,,ちびっこ忍者,5,16,4,Sl,random,coin,小岩井 ことり,Nardack,volcano,Shinobi,5700,4910,7700,6910,
スルスタン,F,74,first,,自暴の暗殺者,5,16,4,Sl,random,coin,福山 潤,文太,guildtown,Assassin,5600,5100,7600,7100,
サクヤ,F,75,collaboration,,七色の霊刃使い,5,16,4,Sl,collaboration,shiningblade,水樹 奈々,Tony,others,RuneFencer,6500,6000,8500,8000,
勇者,F,76,collaboration,,,5,16,4,Sl,collaboration,maoyu,福山 潤,toi8,others,SwordsMan,6300,6200,8300,8200,
にゃん太,F,77,collaboration,,“ご隠居コック”,5,16,4,Pi,collaboration,loghorizon,中田 譲治,ハラカズヒロ,others,Swashbuckler,6350,6100,8350,8100,
アカツキ,F,78,collaboration,,“美少女暗殺者”,5,16,4,Sl,collaboration,loghorizon,加藤 英美里,ハラカズヒロ,others,Assassin,5400,5400,8800,8000,
カノ,F,79,first,,ギルドのまとめ役,5,15,3,Sl,collaboration,trefle,鹿野 優以,あさぎり,guildtown,Fighter,4520,4460,7120,7060,
,,,,,,,,,,,,,,,,,,,,
セルバンテス,K,1,first,,聖都の宿将,1,2,1,Pi,yggd,other,石田 彰,hippo,holytown,Knight,1600,1790,3000,3190,
ベアトリクス,K,2,first,,“吸血の戦鬼”騎士団長,1,2,1,Sl,yggd,other,内田 真礼,岸辺,holytown,Knight,1600,1550,3000,2950,
アントン,K,3,first,,新米騎士,1,2,1,Sl,yggd,other,柳田 淳一,moc,holytown,Knight,1520,1700,2920,3100,
ハーマン,K,4,first,,“原初の鷹”騎士団長,1,2,1,Sl,yggd,other,柳田 淳一,天領セナ,holytown,Knight,1500,1800,2900,3200,
バクストン,K,5,first,,“鋼鉄の血”騎士団長,1,2,1,Pi,yggd,other,柳田 淳一,田代ほけきょ,holytown,Knight,1500,1650,2900,3050,
ロベルタ,K,6,first,,歴戦の女傭兵,1,2,1,Sl,yggd,other,星野 早,サブロー,guildtown,Warrior,1480,1670,2880,3070,
カイン,K,7,first,,善良なる傭兵,1,2,1,Sl,yggd,other,内田 真礼,竜徹,volunteers,Guard,1440,1690,2840,3090,
ナックル,K,8,first,,軟派騎士,1,2,1,Sl,yggd,other,柳田 淳一,文太,guildtown,Knight,1350,1800,2750,3200,
ギスゴ,K,9,first,,陽光の者,2,4,1,Pi,yggd,other,石田 彰,ネム,oasis,Bouncer,2450,2530,3850,3930,
エリーナ,K,10,first,,“悠久の丘”騎士団,2,4,1,Pi,yggd,other,星野 早,nabe,holytown,Knight,2400,2600,3800,4000,
ルアンナ,K,11,first,,“清廉の泉”騎士団,2,4,1,Sl,yggd,other,佐倉 綾音,サブロー,holytown,Knight,2350,2480,3750,3880,
アルベルト,K,12,first,,自称英雄,2,4,1,Sl,yggd,other,柳田 淳一,碧風羽,guildtown,Swordsman,2300,2500,3700,3900,
メリッサ,K,13,first,,無敵の守銭奴,2,4,1,Sl,yggd,other,内田 真礼,NUKO-D,guildtown,Fighter,2260,2440,3660,3840,
ラヒーム,K,14,first,,枯れぬ者,3,8,2,Sl,yggd,oasis,石田 彰,nabe,oasis,Guard,4300,4400,5900,6000,
ラビィ,K,15,first,,俊足の剣士,3,8,2,Sl,yggd,guildtown,小岩井 ことり,白亜右月,guildtown,Bouncer,4280,4250,5880,5850,
カディル,K,16,first,,惑わぬ者,3,8,2,Sl,yggd,oasis,小岩井 ことり,NPA,oasis,Guard,4250,4550,5850,6150,
マリス,K,17,first,,若き聖騎士,3,8,2,Sl,yggd,holytown,石田 彰,sime,holytown,Knight,4200,4600,5800,6200,
ライネル,K,18,first,,旅の聖騎士,3,8,2,Sl,yggd,holytown,石田 彰,toi8,holytown,Paladin,4150,4300,5750,5900,
スレイ,K,19,first,,百戦の勇士,3,8,2,Sl,yggd,guildtown,柳田 淳一,ケロケロ齋藤,guildtown,Guard,4000,4500,5600,6100,
オデット,K,20,first,,神託の聖騎士,3,8,2,Pi,yggd,holytown,小岩井 ことり,岸辺,holytown,Paladin,3950,4550,5550,6150,
カイ,K,21,first,,旅の聖騎士,3,8,2,Pi,yggd,holytown,佐倉 綾音,toi8,holytown,Paladin,3900,4450,5500,6050,
トーマス,K,22,first,,“不変の勝利”騎士団,3,8,2,Sl,yggd,holytown,内田 真礼,秋津たいら,holytown,Knight,3840,4320,5440,5920,
フィーンド,K,23,collaboration,,禍鎧の殴り騎士,3,8,2,Bl,collaboration,mediafactory,加藤 英美里,榎宮祐,others,Guardian,3890,4630,,,
ダナディ,K,24,first,,聖騎士団長“聖戦の呼び声”,4,12,3,Pi,yggd,holytown,柳田 淳一,天野英,holytown,Paladin,5250,5640,7050,7440,
ファン＝ファン,K,25,first,,炎の戦士,4,12,3,Pi,yggd,mountain,内田 真礼,碧風羽,mountain,Fighter,5200,5740,7000,7540,
ムスタファ,K,26,first,,湖都の大盗賊,4,12,3,Sl,yggd,oasis,柳田 淳一,兎鷺,oasis,Thief,5180,5900,6980,7700,
イルヘルミナ,K,27,first,,背徳の聖騎士,4,12,3,Sl,yggd,holytown,佐倉 綾音,碧風羽,holytown,Paladin,5150,5800,6950,7600,
アルヴェルト,K,28,first,,鉄仮面の剣士,4,12,3,Sl,yggd,guildtown,石田 彰,碧風羽,guildtown,Swordsman,5100,5800,6900,7600,
ローエンディア,K,29,first,,白百合の聖騎士,4,12,3,Sl,yggd,holytown,内田 真礼,木志田コテツ,holytown,Paladin,5000,5590,6800,7390,
女騎士,K,30,collaboration,,,4,12,3,Sl,collaboration,maoyu,沢城 みゆき,toi8,others,Knight,4400,4800,6800,7200,
直継,K,31,collaboration,,“頼れる守護戦士”,4,12,3,Sl,collaboration,loghorizon,前野 智昭,ハラカズヒロ,others,Guardian,5200,5850,7000,7650,
クラスティ,K,32,collaboration,,“カリスマ狂戦士”,4,12,3,Bl,collaboration,loghorizon,櫻井 孝宏,ハラカズヒロ,others,Guardian,5300,5700,7100,7500,
ゴトリ,K,33,first,,天邪鬼の騎士,4,11,3,Sl,collaboration,trefle,後藤 友香里,あさぎり,guildtown,Knight,3520,4020,5920,6420,
ザレン,K,34,demon,,復讐の魔神,5,20,4,Bl,yggd,other,石田 彰,日暮央,demon,Demon,5500,5900,8500,9100,
スティッチア,K,35,first,,裁縫ギルド長,5,18,4,Pi,yggd,guildtown,野中 藍,富岡二郎（RED FS）,guildtown,Smith,6440,7460,8440,9460,
アレス,K,36,first,,大正義の聖騎士,5,18,4,Sl,yggd,holytown,柿原 徹也,竜徹,holytown,Paladin,6800,7600,8800,9600,
シンフォニア,K,37,first,,絢爛の聖騎士,5,17,4,Sl,yggd,holytown,佐倉 綾音,武城にしき,holytown,Paladin,6600,7300,8600,9300,
ユリアナ,K,38,first,,聖王女,5,16,4,Sl,event,festival,小岩井 ことり,toi8,holytown,Princess,6400,7100,8400,9100,
ジャファール,K,39,first,,砂漠の鷹,5,16,4,Sl,yggd,oasis,石田 彰,芳住和之,oasis,Swordsman,6400,6900,8400,8900,
バリエナ,K,40,first,,銀狼の導き手,5,16,4,Sl,yggd,forest,小岩井 ことり,タイキ,forest,Guardian,6300,7100,8300,9100,
リフレット,K,41,first,,聖騎士団長“聖光の向日葵”,5,16,4,Bl,yggd,holytown,内田 真礼,NPA,holytown,Paladin,6300,6900,8300,8900,
フィー・グレア,K,42,first,,片翼の竜騎士,5,16,4,Pi,event,festival,福山 潤,ひと和,others,Paladin,6200,7000,8200,9000,
パーシェル,K,43,first,,司祭騎士,5,16,4,Sl,yggd,holytown,佐倉 綾音,タイキ,holytown,Paladin,6150,7100,8150,9100,
ウェイン,K,44,first,,聖騎士団長“聖域の護り手”,5,16,4,Pi,yggd,holytown,石田 彰,ひと和,holytown,Paladin,6000,7000,8000,9000,
ディード,K,45,first,,自由の騎士,5,16,4,Pi,random,coin,佐倉 綾音,ぜろきち,holytown,Paladin,5730,6040,7730,8040,
ミリエル,K,46,first,,白鋼の聖騎士,5,16,4,Pi,random,coin,小清水 亜美,heike,holytown,Paladin,5030,6240,7030,8240,
,,,,,,,,,,,,,,,,,,,,
ミシディア,A,1,first,,頼れる弓兵,1,2,1,Ar,yggd,other,内田 真礼,moc,volunteers,Archer,1730,1070,2930,2270,
オットー,A,2,first,,外交委員,1,2,1,Ar,yggd,other,柳田 淳一,小島邦彦,guildtown,Merchant,1660,1140,2860,2340,
サビオ,A,3,first,,森外の理解者,2,4,1,Ar,yggd,other,石田 彰,moc,forest,Archer,2500,1400,3900,2800,
パトリシア,A,4,first,,慈悲の商人,2,4,1,Ar,yggd,other,内田 真礼,ネム,guildtown,Merchant,2300,1380,3700,2780,
ワーグマン,A,5,first,,早撃ちの狩人,2,4,1,Ar,yggd,other,石田 彰,尾崎省之,guildtown,Hunter,2250,1400,3650,2800,
ミル,A,6,first,,お騒がせ三姉妹,3,8,2,Ar,yggd,forest,小岩井 ことり,葉山えいし,forest,Archer,4340,2340,5940,3940,
シェダ,A,7,first,,弓職人,3,8,2,Ar,yggd,mountain,小岩井 ことり,富岡二郎,mountain,Smith,4300,2350,5900,3950,
コロナ,A,8,first,,魔法弓士,3,8,2,Ar,yggd,guildtown,小岩井 ことり,ぜろきち,guildtown,Ranger,4200,2370,5800,3970,
フェイスレス,A,9,first,,無面の暗殺者,3,8,2,Ar,yggd,guildtown,小岩井 ことり,あさぎり,guildtown,Clown,4100,2330,5700,3930,
キリエ,A,10,first,,王都の勇士,3,8,2,Ar,yggd,guildtown,佐倉 綾音,碧風羽,guildtown,Ranger,4000,2500,5600,4100,
エマ,A,11,first,,魔境の案内人,3,8,2,Ar,yggd,guildtown,佐倉 綾音,mamuru,guildtown,Ranger,3900,2500,5500,4100,
ニキ,A,12,first,,踊り子見習い,3,8,2,Ar,yggd,guildtown,内田 真礼,mamuru,guildtown,Dancer,3750,2480,5350,4080,
エンヴィ,A,13,first,,うら若き商才,3,8,2,Ar,yggd,guildtown,佐倉 綾音,秋津たいら,guildtown,Marchant,3700,2400,5300,4000,
チャム＝チャム,A,14,first,,お気楽奏者,3,8,2,Ar,yggd,oasis,内田 真礼,mamuru,oasis,Minstrel,4000,2470,5600,4070,
ヤーウッド,A,15,first,,副都の戦術家,4,13,3,Ar,yggd,guildtown,福山 潤,木志田コテツ,guildtown,Strategist,5340,3150,7140,4950,
ティフォ,A,16,first,,千河の戦士,4,12,3,Ar,yggd,forest,小岩井 ことり,ネム,forest,Archer,5220,3000,7020,4800,
リーニャ,A,17,first,,木漏れ日の恩寵,4,12,3,Ar,yggd,forest,内田 真礼,ネム,forest,Archer,5150,3050,6950,4850,
クラリス,A,18,first,,復讐者,4,12,3,Ar,yggd,guildtown,小岩井 ことり,ネム,guildtown,Hunter,5140,3070,6940,4870,
フィリップ,A,19,first,,森の王者,4,12,3,Ar,yggd,guildtown,石田 彰,萩谷薫,guildtown,Ranger,5050,3200,6850,5000,
ウィリアム＝マサチューセッツ,A,20,collaboration,,“ミスリル・アイズ”,4,12,3,Ar,collaboration,loghorizon,中村 悠一,ハラカズヒロ,others,Assassin,5280,3200,7080,5000,
イッシー,A,21,first,,漂泊の戦闘巫女,4,11,3,Ar,collaboration,trefle,石川 由依,あさぎり,guildtown,Archer,4200,3210,6600,5010,
オネット,A,22,first,,自動機械人形,5,18,4,Ar,yggd,mountain,加藤 英美里,hakus,mountain,Archer,7150,4210,9150,6210,
カルネロ,A,23,first,,年代記の使徒,5,17,4,Ar,yggd,forest,石田 彰,黒葉.K,forest,Archer,6580,4350,8580,6350,
アルミルス,A,24,demon,,執着の魔神,5,16,4,Ar,event,demon,小岩井 ことり,白亜右月,demon,Demon,5250,3400,8650,6200,
ムジカ,A,25,first,,伝説の歌姫,5,16,4,Ar,yggd,oasis,佐倉 綾音,麦白子,oasis,Minstrel,6430,3900,8430,5900,
サーシャ,A,26,first,,砂漠のアイドル,5,16,4,Ar,yggd,oasis,佐倉 綾音,Nardack,oasis,Dancer,6240,3700,8240,5700,
ハジャダ,A,27,first,,千河の勇士,5,16,4,Ar,yggd,forest,佐倉 綾音,タイキ,forest,Hunter,6200,3750,8200,5750,
ファルリン,A,28,first,,詩を紡ぐ者,5,16,4,Ar,yggd,oasis,佐倉 綾音,moc,oasis,Minstrel,6200,3800,8200,5800,
ブリサ,A,29,first,,千河の遊撃手,5,16,4,Ar,yggd,forest,内田 真礼,kyo,forest,Archer,6140,3600,8140,5600,
カタリス,A,30,demon,,冒涜の魔神,5,16,4,Ar,event,demon,佐倉 綾音,前田ヒロユキ,demon,Demon,6000,4000,8000,6000,
ニーナ,A,31,first,,無垢の暗殺者,5,16,4,Ar,random,coin,小岩井 ことり,Nardack,guildtown,Assassin,5750,3450,7750,5450,
ティグレ,A,32,first,,白き虎の使い,5,16,4,Ar,random,coin,内田 真礼,クロサワテツ,forest,Archer,5800,3400,7800,5400,
パロマ,A,33,first,,幼き森妖精,5,16,3,Ar,random,coin,内田 真礼,秋津たいら,forest,Archer,5240,3000,7240,5000,
アルティナ,A,34,collaboration,,銀の森の妖精姫,5,14,4,Ar,collaboration,shiningblade,井上 麻里奈,Tony,others,Princess,6100,3500,8100,5500,
グレタ,A,35,first,,流浪する花嫁,5,16,4,Ar,collaboration,mediafactory,野中 藍,屡那,others,Hunter,6210,4100,8210,6100,
,,,,,,,,,,,,,,,,,,,,
カトリ,P,1,first,,若き癒し手,1,2,1,He,yggd,other,佐倉 綾音,田代ほけきょ,guildtown,Healer,1560,990,2960,2390,
マリナ,P,2,first,,熱き癒し手,1,2,1,He,yggd,other,佐倉 綾音,クロサワテツ,volunteers,Healer,1650,1300,2850,2500,
ローザ,P,3,first,,樹人,2,4,1,He,yggd,other,星野 早,moc,forest,Healer,2400,1500,3800,2900,
ラティ,P,4,first,,白の癒し手,2,4,1,He,yggd,other,内田 真礼,nunohito,guildtown,Healer,2250,1610,3650,3010,
ケイト,P,5,first,,トラブルシスター,2,4,1,He,yggd,other,小岩井 ことり,ゆりんこ,holytown,Priest,2220,1690,3620,3090,
メルヴィナ,P,6,first,,秘薬師,3,8,2,He,yggd,guildtown,佐倉 綾音,sime,guildtown,Merchant,3999,2800,5599,4400,
ヨハン,P,7,first,,隠密神官,3,8,2,He,yggd,holytown,石田 彰,文太,holytown,Priest,3900,2980,5500,4580,
ロイ,P,8,first,,放浪牧師,3,8,2,He,yggd,holytown,石田 彰,ワダアルコ,holytown,Priest,3800,3000,5400,4600,
ミノリ,P,9,collaboration,,“中学生巫女”,3,8,2,He,collaboration,loghorizon,田村 奈央,ハラカズヒロ,others,Kannagi,4100,2900,5700,4500,
ウィヴェア,P,10,first,,葡萄の樹人,4,13,3,He,yggd,forest,三上 枝織,富岡二郎（RED FS）,forest,Healer,5400,4000,7200,5800,
セレージャ,P,11,first,,桜の樹人,4,12,3,He,yggd,forest,内田 真礼,タイキ,forest,Healer,5380,3900,7180,5700,
ヴァネッサ,P,12,first,,不良治癒術師,4,12,3,He,yggd,guildtown,佐倉 綾音,moc,guildtown,Healer,5300,3800,7100,5600,
ライラ,P,13,first,,神秘の歌姫,4,12,3,He,yggd,oasis,小岩井 ことり,葉山えいし,oasis,Minstrel,5300,3500,7100,5300,
パポラ,P,14,first,,雪山の樹人,4,12,3,He,yggd,mountain,佐倉 綾音,村山竜大,mountain,Healer,5250,3450,7050,5250,
オリアーナ,P,15,first,,医術師,4,12,3,He,yggd,academy,佐倉 綾音,sime,academy,Medic,5200,3500,7000,5300,
アデル,P,16,first,,聖都の良心,4,12,3,He,yggd,holytown,佐倉 綾音,sime,holytown,Priest,5100,3640,6900,5440,
アリエッタ,P,17,first,,花の司祭,4,12,3,He,yggd,holytown,内田 真礼,秋津たいら,holytown,Priest,5050,3400,6850,5200,
ノエル,P,18,first,,盲目の神官,4,12,3,He,yggd,guildtown,小岩井 ことり,NA2-A5,guildtown,Priest,4900,3500,6700,5300,
メイド長,P,19,collaboration,,,4,12,3,Sl,collaboration,maoyu,斎藤 千和,toi8,others,Servent,4500,3150,6900,5550,
スミレ,P,20,first,,おっとり巫女,4,12,3,He,collaboration,other,田辺 留依,泉彩,volcano,Priest,4400,3300,6200,5100,
マリエール,P,21,collaboration,,“アキバのひまわり”,4,12,3,He,collaboration,loghorizon,原 由実,ハラカズヒロ,others,Cleric,5100,3600,6900,5400,
タノウェイ,P,22,first,,神託の僧侶,4,11,3,He,collaboration,trefle,田上 真里奈,あさぎり,guildtown,Healer,4030,3070,5830,4870,
ヘロディア,P,23,first,,伝説を創る者,4,11,3,Pi,collaboration,mediafactory,三上 枝織,兎塚エイジ,others,StoryWriter,5150,3230,6950,5030,
フィーナ,P,24,first,,年代記の少女,5,16,4,He,yggd,other,佐倉 綾音,toi8,volunteers,Chronicler,4000,2800,9000,6800,
リリス,P,25,first,,救世の聖女,5,16,4,He,yggd,holytown,佐倉 綾音,ワダアルコ,holytown,Priest,6400,4500,8400,6500,
