#名前,職,index,称号,レア度,コスト,絆コスト,武器属性,入手先・分類,入手先,声優,イラストレーター,所属,職業,最大ATK,最大HP,限界ATK,限界HP,（入力補助用・名前）,スキル名,アビリティ1・名前,アビリティ2・名前,武器アビリティ・名前,絆アビリティ名
キキョウ,F,51,流浪の剣術家,4,12,3,Sl,collaboration,other,豊田 萌絵,斉藤ロクロ,volcano,SwordsMan,4400,4000,6200,5800,キキョウ,電撃斬り,プラス思考,電撃のアザ,,電撃流剣術
フィーンド,F,52,天武の忌才,4,12,3,Sl,collaboration,mediafactory,加藤 英美里,榎宮祐,others,Fighter,5280,4630,7280,6630,フィーンド,流天,わがままボディ,秘伝の体術,,全力殴打
ソウジロウ＝セタ,F,53,“剣聖”,4,12,3,Sl,collaboration,loghorizon,下野 紘,ハラカズヒロ,others,Samurai,5500,4900,7300,6700,ソウジロウ＝セタ,旋風飯綱,電光石火,口伝天眼通,,疾風迅雷
イブキ,F,54,春眠の剣士,4,11,3,Sl,first,volcano,内田 真礼,DSマイル,volcano,Samurai,5670,4950,7470,6750,イブキ,円月殺法,窮鼠,祝福,,春眠学習
ヒロチ,F,55,街のカブキ者,4,11,3,Sl,collaboration,trefle,一木 千洋,あさぎり,guildtown,Warrior,4110,3720,6510,6120,ヒロチ,ヴィテアタック,防衛本能,イタズラ好き,,目くらまし
ヨシツグ,F,56,第二領主,5,18,4,Sl,event,festival,石田 彰,竜徹,volcano,MasterFencer,7400,6900,9400,8900,ヨシツグ,散華繚乱,修羅の躍動,散り際の刀閃,,修羅道の導き
オリョウ,F,57,鬼神剣士,5,18,4,Sl,first,volcano,沢城 みゆき,竜徹,volcano,Samurai,7050,6120,9050,8120,オリョウ,呪詛の鬼魂,巫女の秘術書,魂纏,,伝聞　鬼道剣術
カミナヅキ,F,58,剣豪太夫,5,18,4,Sl,first,volcano,小清水 亜美,柴乃櫂人,volcano,MasterFencer,7240,6240,9240,8240,カミナヅキ,鈴音天昇,神無の瞳,吸精剣,,神無の瞳
テレサ,F,59,殺戮の剣聖,5,17,4,Sl,first,guildtown,佐倉 綾音,ワダアルコ,guildtown,SwordMaster,7100,6480,9100,8480,テレサ,殺戮剣術,殺人衝動,加速する殺意,,殺意剣技
チヨメ,F,60,壱領忍衆頭目,5,17,4,Sl,first,volcano,小岩井 ことり,mamuru,volcano,Shinobi,6960,5940,8960,7940,チヨメ,忍法カゲキリ,忍びの技,隠形の術,,忍びの劇薬
ヨシノ,F,61,姫剣豪,5,17,4,Sl,first,volcano,内田 真礼,クロサワテツ,volcano,MasterFencer,6850,6200,8850,8200,ヨシノ,桜花爛漫,鬼の剣術,マナの天分,,桜花散華
ソーニャ,F,62,火焔の剣士,5,17,4,Sl,first,volcano,佐倉 綾音,竜徹,volcano,RuneFencer,6800,6300,8800,8300,ソーニャ,プロミネンスドライブ,炎刀使いの用心棒,真実の炎,紅焔の加護,炎の秘剣
ボクデン,F,63,老剣豪,5,17,4,Sl,first,volcano,石田 彰,Cervus,volcano,MasterFencer,6700,6100,8700,8100,ボクデン,剣嵐武闘,達人の歩法,鬼の剣術,,剣術道場
サプラス,F,64,滋養の魔神,5,17,4,Sl,event,demon,野中 藍,ワダアルコ,demon,Demon,4800,5000,8600,9000,サプラス,デモンズフルコース,魔神の刃,デモンズスライサー,,滋養の武器
ミーム,F,65,防衛委員長,5,17,4,Bl,first,guildtown,小岩井 ことり,ともひと,guildtown,Smith,6370,6750,8370,8750,ミーム,突貫工事,守備意識,バリケード作成,,建築士の意地
セリーヌ,F,66,ギルド同盟副議長,5,16,4,Pi,event,score,内田 真礼,HACCAN,guildtown,SwordMaster,4600,4900,10200,8300,セリーヌ,クリスタルクオーツ,マナの素養,衛生兵！,,行け！衛生兵！
コロパティロン,F,67,牢獄の魔神,5,16,4,Bl,event,demon,小岩井 ことり,柴乃櫂人,demon,Demon,5540,5840,8540,8840,コロパティロン,ビックチョッパー,魔神の再生力,魔神の切断欲求,,再生力
ヨルデ,F,68,刀匠,5,16,4,Sl,first,mountain,内田 真礼,竜徹,mountain,Smith,6500,6100,8500,8100,ヨルデ,一之太刀,土妖精の肉体,吸魂刀,,二之太刀
キキ,F,69,ぬるい炎,5,16,4,Sl,first,mountain,内田 真礼,村山竜大,mountain,Fighter,6450,6250,8450,8250,キキ,フレアスプラッシュ,炎の武器,荒ぶる炎,,ぬるい篝火
ロレッタ,F,70,破壊魔人,5,16,4,Bl,first,guildtown,小岩井 ことり,萩谷薫,guildtown,Merchant,6400,6400,8400,8400,ロレッタ,デストロイスマッシュ,商才,破壊魔人の本性,強奪魔人,破壊魔人の商才
ニンファ,F,71,強運の戦士,5,16,4,Sl,first,guildtown,内田 真礼,煎茶,guildtown,Warrior,6170,6170,8170,8170,ニンファ,ハッピーストライク,天運,ハッピートレジャー,幸運の使者,強運のおすそわけ
リンセ,F,72,山猫の使い,5,16,4,Sl,ring,trade,小岩井 ことり,Nardack,forest,Fighter,5620,5620,7620,7620,リンセ,ニャインライブス,リンクス,再生,,山猫の如き
フーコ,F,73,ちびっこ忍者,5,16,4,Sl,ring,trade,小岩井 ことり,Nardack,volcano,Shinobi,5700,4910,7700,6910,フーコ,かすみくない,すごうでのくのいち,おいろけのじゅつ,,しのびのしごと
スルスタン,F,74,自暴の暗殺者,5,16,4,Sl,ring,trade,福山 潤,文太,guildtown,Assassin,5600,5100,7600,7100,スルスタン,ストラトブレード,暗殺者の突撃,闇の刃,,闇の短刀
サクヤ,F,75,七色の霊刃使い,5,16,4,Sl,collaboration,shiningblade,水樹 奈々,Tony,others,RuneFencer,6500,6000,8500,8000,サクヤ,陰陽一刀流　影道閃,マナの天分,師の導き,,師の導き
勇者,F,76,,5,16,4,Sl,collaboration,maoyu,福山 潤,toi8,others,SwordsMan,6300,6200,8300,8200,勇者,広域殲滅光炎陣,治療魔法,勇者の使命,,勇者の支援
にゃん太,F,77,“ご隠居コック”,5,16,4,Pi,collaboration,loghorizon,中田 譲治,ハラカズヒロ,others,Swashbuckler,6350,6100,8350,8100,にゃん太,ブラッディピアッシング,ライトニングステップ,ピンポイント,,猫人の導き
アカツキ,F,78,“美少女暗殺者”,5,16,4,Sl,collaboration,loghorizon,加藤 英美里,ハラカズヒロ,others,Assassin,5400,5400,8800,8000,アカツキ,アサシネイト,ヴェノムストライク,アクセルファング,,ヴェノムサポート
カノ,F,79,ギルドのまとめ役,5,15,3,Sl,collaboration,trefle,鹿野 優以,あさぎり,guildtown,Fighter,4520,4460,7120,7060,カノ,四つ葉の祝福,マナの素養,リーダーシップ,,冒険者支援
,,,,,,,,,,,,,,,,,,,,,,,
セルバンテス,K,1,聖都の宿将,1,2,1,Pi,first,other,石田 彰,hippo,holytown,Knight,1600,1790,3000,3190,セルバンテス,ヘビーチャージ,強気,,,虚勢
ベアトリクス,K,2,“吸血の戦鬼”騎士団長,1,2,1,Sl,first,other,内田 真礼,岸辺,holytown,Knight,1600,1550,3000,2950,ベアトリクス,勝利のために,,,,攻めの体勢
アントン,K,3,新米騎士,1,2,1,Sl,first,other,柳田 淳一,moc,holytown,Knight,1520,1700,2920,3100,アントン,ガーディアン,,,,守りの姿勢
ハーマン,K,4,“原初の鷹”騎士団長,1,2,1,Sl,first,other,柳田 淳一,天領セナ,holytown,Knight,1500,1800,2900,3200,ハーマン,ダウンハイカット,,,,目覚めのお守り
バクストン,K,5,“鋼鉄の血”騎士団長,1,2,1,Pi,first,other,柳田 淳一,田代ほけきょ,holytown,Knight,1500,1650,2900,3050,バクストン,パワーアップ,,,,懐刀
ロベルタ,K,6,歴戦の女傭兵,1,2,1,Sl,first,other,星野 早,サブロー,guildtown,Warrior,1480,1670,2880,3070,ロベルタ,ダウンハイカット,,,,守備協力
カイン,K,7,善良なる傭兵,1,2,1,Sl,first,other,内田 真礼,竜徹,volunteers,Guard,1440,1690,2840,3090,カイン,スラッシュ,毒耐性,,,毒耐性
ナックル,K,8,軟派騎士,1,2,1,Sl,first,other,柳田 淳一,文太,guildtown,Knight,1350,1800,2750,3200,ナックル,インパクトタックル,,,,街の警備団
ギスゴ,K,9,陽光の者,2,4,1,Pi,first,other,石田 彰,ネム,oasis,Bouncer,2450,2530,3850,3930,ギスゴ,ハードスラッシュ,砂上戦闘,,,砂ネズミ
エリーナ,K,10,“悠久の丘”騎士団,2,4,1,Pi,first,other,星野 早,nabe,holytown,Knight,2400,2600,3800,4000,エリーナ,チャージランス,快速のお守り,,,快速のお守り
ルアンナ,K,11,“清廉の泉”騎士団,2,4,1,Sl,first,other,佐倉 綾音,サブロー,holytown,Knight,2350,2480,3750,3880,ルアンナ,クリンリバイブ,,,,毒耐性
アルベルト,K,12,自称英雄,2,4,1,Sl,first,other,柳田 淳一,碧風羽,guildtown,Swordsman,2300,2500,3700,3900,アルベルト,ボディアップ,防衛本能,,,緊急防御
メリッサ,K,13,無敵の守銭奴,2,4,1,Sl,first,other,内田 真礼,NUKO-D,guildtown,Fighter,2260,2440,3660,3840,メリッサ,ヘビーカット,商才,,,小銭入れ
ラヒーム,K,14,枯れぬ者,3,8,2,Sl,first,oasis,石田 彰,nabe,oasis,Guard,4300,4400,5900,6000,ラヒーム,ブラインドソード,砂上戦闘,,,砂漠の知恵
ラビィ,K,15,俊足の剣士,3,8,2,Sl,first,guildtown,小岩井 ことり,白亜右月,guildtown,Bouncer,4280,4250,5880,5850,ラビィ,スラッシュ,神速,,,おすすめの靴
カディル,K,16,惑わぬ者,3,8,2,Sl,first,oasis,小岩井 ことり,NPA,oasis,Guard,4250,4550,5850,6150,カディル,ポイズンファング,リザードキラー,,,爬虫類百科
マリス,K,17,若き聖騎士,3,8,2,Sl,first,holytown,石田 彰,sime,holytown,Knight,4200,4600,5800,6200,マリス,ブレイバー,覚醒,,,バリケード
ライネル,K,18,旅の聖騎士,3,8,2,Sl,first,holytown,石田 彰,toi8,holytown,Paladin,4150,4300,5750,5900,ライネル,ダッシュブレード,防衛本能,,,盾術
スレイ,K,19,百戦の勇士,3,8,2,Sl,first,guildtown,柳田 淳一,ケロケロ齋藤,guildtown,Guard,4000,4500,5600,6100,スレイ,スラッシュ,防衛本能,,,護衛戦法
オデット,K,20,神託の聖騎士,3,8,2,Pi,first,holytown,小岩井 ことり,岸辺,holytown,Paladin,3950,4550,5550,6150,オデット,ヘビースティング,窮鼠,,,剣と盾
カイ,K,21,旅の聖騎士,3,8,2,Pi,first,holytown,佐倉 綾音,toi8,holytown,Paladin,3900,4450,5500,6050,カイ,ターンエッジ,窮鼠,,,アタックパートナー
トーマス,K,22,“不変の勝利”騎士団,3,8,2,Sl,first,holytown,内田 真礼,秋津たいら,holytown,Knight,3840,4320,5440,5920,トーマス,ホーリーリバイブ,防衛本能,,,守備反応
フィーンド,K,23,禍鎧の殴り騎士,3,8,2,Bl,collaboration,mediafactory,加藤 英美里,榎宮祐,others,Guardian,3890,4630,,,フィーンド,アーマーチャージ,遺失文明の機械鎧,,,護衛戦法
ダナディ,K,24,聖騎士団長“聖戦の呼び声”,4,12,3,Pi,first,holytown,柳田 淳一,天野英,holytown,Paladin,5250,5640,7050,7440,ダナディ,ブレイブタックル,応急処置,気合の叫び,,聖なる叫び
ファン＝ファン,K,25,炎の戦士,4,12,3,Pi,first,mountain,内田 真礼,碧風羽,mountain,Fighter,5200,5740,7000,7540,ファン＝ファン,フレイムバリア,炎の武器,疾風,,フレイムシールド
ムスタファ,K,26,湖都の大盗賊,4,12,3,Sl,first,oasis,柳田 淳一,兎鷺,oasis,Thief,5180,5900,6980,7700,ムスタファ,サンドバイパー,大盗賊,義賊の粘り,,神出鬼没
イルヘルミナ,K,27,背徳の聖騎士,4,12,3,Sl,first,holytown,佐倉 綾音,碧風羽,holytown,Paladin,5150,5800,6950,7600,イルヘルミナ,ホーリーセイバー,マナの素養,守護の境地,,背徳の盾
アルヴェルト,K,28,鉄仮面の剣士,4,12,3,Sl,first,guildtown,石田 彰,碧風羽,guildtown,Swordsman,5100,5800,6900,7600,アルヴェルト,破邪の牙,守護者,死地を探す騎士,,勇猛果敢
ローエンディア,K,29,白百合の聖騎士,4,12,3,Sl,first,holytown,内田 真礼,木志田コテツ,holytown,Paladin,5000,5590,6800,7390,ローエンディア,フルーレ,守護者,奥義,,白き騎士道
女騎士,K,30,,4,12,3,Sl,collaboration,maoyu,沢城 みゆき,toi8,others,Knight,4400,4800,6800,7200,女騎士,勇者直伝　岩盤返し,光壁,湖畔修道会の癒し手,,女騎士の教え
直継,K,31,“頼れる守護戦士”,4,12,3,Sl,collaboration,loghorizon,前野 智昭,ハラカズヒロ,others,Guardian,5200,5850,7000,7650,直継,キャッスル・オブ・ストーン,シールドマスタリー,アイアンバウンス,,堅牢な盾
クラスティ,K,32,“カリスマ狂戦士”,4,12,3,Bl,collaboration,loghorizon,櫻井 孝宏,ハラカズヒロ,others,Guardian,5300,5700,7100,7500,クラスティ,オンスロート,レジリアンス,スカーレットスラスト,,不倒の狂戦士
ゴトリ,K,33,天邪鬼の騎士,4,11,3,Sl,collaboration,trefle,後藤 友香里,あさぎり,guildtown,Knight,3520,4020,5920,6420,ゴトリ,包丁乱舞,強気,観察眼,,闇切り包丁
ザレン,K,34,復讐の魔神,5,20,4,Bl,first,other,石田 彰,日暮央,demon,Demon,5500,5900,8500,9100,ザレン,グランドアサルト,魔神の威圧,抗えない復讐心,,黒い執念
スティッチア,K,35,裁縫ギルド長,5,18,4,Pi,first,guildtown,野中 藍,富岡二郎（RED FS）,guildtown,Smith,6440,7460,8440,9460,スティッチア,針剣舞,美針の剣術,クロススティッチ,,市街戦の教え
アレス,K,36,大正義の聖騎士,5,18,4,Sl,first,holytown,柿原 徹也,竜徹,holytown,Paladin,6800,7600,8800,9600,アレス,ジャスティファイ,大正義の天命,騎士道大原則,,曲がらぬ正義
シンフォニア,K,37,絢爛の聖騎士,5,17,4,Sl,first,holytown,佐倉 綾音,武城にしき,holytown,Paladin,6600,7300,8600,9300,シンフォニア,アーティライト,眩い光,絢爛たる勇姿,,勇気の光
ユリアナ,K,38,聖王女,5,16,4,Sl,event,festival,小岩井 ことり,toi8,holytown,Princess,6400,7100,8400,9100,ユリアナ,クイーンズオーダー,騎士の結束,王家の風格,,黒の敵対者
ジャファール,K,39,砂漠の鷹,5,16,4,Sl,first,oasis,石田 彰,芳住和之,oasis,Swordsman,6400,6900,8400,8900,ジャファール,鷹爪剣,砂上戦闘,空漠の孤鷹,,砂漠の流儀
バリエナ,K,40,銀狼の導き手,5,16,4,Sl,first,forest,小岩井 ことり,タイキ,forest,Guardian,6300,7100,8300,9100,バリエナ,ヴォルフハウリング,マナの天分,銀狼の毛皮,,銀狼の遠吠え
リフレット,K,41,聖騎士団長“聖光の向日葵”,5,16,4,Bl,first,holytown,内田 真礼,NPA,holytown,Paladin,6300,6900,8300,8900,リフレット,サンプレッシャー,ゴーレムキラー,不倒の向日葵,,ゴーレム戦闘指南
フィー・グレア,K,42,片翼の竜騎士,5,16,4,Pi,event,festival,福山 潤,ひと和,others,Paladin,6200,7000,8200,9000,フィー・グレア,シュトゥルムドラッヘ,竜への知識,竜騎士の魂,,対竜討伐資料
パーシェル,K,43,司祭騎士,5,16,4,Sl,first,holytown,佐倉 綾音,タイキ,holytown,Paladin,6150,7100,8150,9100,パーシェル,ゴッデスティアー,信仰心,神の恩寵,,神の威光
ウェイン,K,44,聖騎士団長“聖域の護り手”,5,16,4,Pi,first,holytown,石田 彰,ひと和,holytown,Paladin,6000,7000,8000,9000,ウェイン,ジャスティレイ,守護者,騎士の結束,聖域の誇り,守護者の護衛
ディード,K,45,自由の騎士,5,16,4,Pi,ring,trade,佐倉 綾音,ぜろきち,holytown,Paladin,5730,6040,7730,8040,ディード,フライハイトヴィント,神速,自由の槍,,呪縛からの解放
ミリエル,K,46,白鋼の聖騎士,5,16,4,Pi,ring,trade,小清水 亜美,heike,holytown,Paladin,5030,6240,7030,8240,ミリエル,ブランディッシュスピア,白鋼の槍術,白鋼の鎧,,白鋼の光
,,,,,,,,,,,,,,,,,,,,,,,
ミシディア,A,1,頼れる弓兵,1,2,1,Ar,first,other,内田 真礼,moc,volunteers,Archer,1730,1070,2930,2270,ミシディア,ハードショット,市街戦闘,,,街の警備団
オットー,A,2,外交委員,1,2,1,Ar,first,other,柳田 淳一,小島邦彦,guildtown,Merchant,1660,1140,2860,2340,オットー,ランダムショット,,,,小銭入れ
サビオ,A,3,森外の理解者,2,4,1,Ar,first,other,石田 彰,moc,forest,Archer,2500,1400,3900,2800,サビオ,スナイプショット,,,,観測手
パトリシア,A,4,慈悲の商人,2,4,1,Ar,first,other,内田 真礼,ネム,guildtown,Merchant,2300,1380,3700,2780,パトリシア,スナイプショット,商才,,,小銭入れ
ワーグマン,A,5,早撃ちの狩人,2,4,1,Ar,first,other,石田 彰,尾崎省之,guildtown,Hunter,2250,1400,3650,2800,ワーグマン,クイックドロウ,荒地戦闘,,,荒野歩行
ミル,A,6,お騒がせ三姉妹,3,8,2,Ar,first,forest,小岩井 ことり,葉山えいし,forest,Archer,4340,2340,5940,3940,ミル,トライスロウリー,暗闇特効,,,対暗闇戦術
シェダ,A,7,弓職人,3,8,2,Ar,first,mountain,小岩井 ことり,富岡二郎,mountain,Smith,4300,2350,5900,3950,シェダ,パワースナイプ,土妖精の肉体,,,救護
コロナ,A,8,魔法弓士,3,8,2,Ar,first,guildtown,小岩井 ことり,ぜろきち,guildtown,Ranger,4200,2370,5800,3970,コロナ,フレイムアロー,マナの素養,,,炎の守り
フェイスレス,A,9,無面の暗殺者,3,8,2,Ar,first,guildtown,小岩井 ことり,あさぎり,guildtown,Clown,4100,2330,5700,3930,フェイスレス,スナイプショット,奥義,,,マナの共鳴
キリエ,A,10,王都の勇士,3,8,2,Ar,first,guildtown,佐倉 綾音,碧風羽,guildtown,Ranger,4000,2500,5600,4100,キリエ,トリプルショット,復讐,,,援護射撃
エマ,A,11,魔境の案内人,3,8,2,Ar,first,guildtown,佐倉 綾音,mamuru,guildtown,Ranger,3900,2500,5500,4100,エマ,ストレングスアロー,旅の秘訣,,,戦闘作法・上級
