#名前,職,index,スキル名,スキル・マナコスト,条件,スキル・カテゴリ,スキル・サブカテゴリ,スキル・追加効果1,スキル・追加効果2,スキル・追加効果3,スキル・追加効果4,スキル・追加効果5,備考
バリエナ,K,40,ヴォルフハウリング,1,,barrier,all,guard_element,guard_debuff,,,,
リフレット,K,41,サンプレッシャー,2,,attack,range_self,add_push,,,,,
フィー・グレア,K,42,シュトゥルムドラッヘ,2,,attack,range_forward,,,,,,
パーシェル,K,43,ゴッデスティアー,1,,heal,one_self,,,,,,
ウェイン,K,44,ジャスティレイ,3,,attack,range_forward,,,,,,
ディード,K,45,フライハイトヴィント,2,,attack,one_combo,add_slow,,,,,
ミリエル,K,46,ブランディッシュスピア,2,,attack,range_forward,,,,,,
,,,,,,,,,,,,,
ミシディア,A,1,ハードショット,1,,attack,one_line,,,,,,
オットー,A,2,ランダムショット,2,,attack,range_random,,,,,,
サビオ,A,3,スナイプショット,1,,attack,one_rear,,,,,,
パトリシア,A,4,スナイプショット,1,,attack,one_rear,,,,,,
ワーグマン,A,5,クイックドロウ,2,,attack,range_random,,,,,,
ミル,A,6,トライスロウリー,1,,attack,range_random,,,,,,
シェダ,A,7,パワースナイプ,2,,attack,one_rear,add_down,,,,,
コロナ,A,8,フレイムアロー,2,,attack,one_line,fire,,,,,
フェイスレス,A,9,スナイプショット,1,,attack,one_rear,,,,,,
キリエ,A,10,トリプルショット,2,,attack,range_random,,,,,,
エマ,A,11,ストレングスアロー,2,,attack,one_line,,,,,,
ニキ,A,12,守りの舞,1,,song_dance,defup,,,,,,
エンヴィ,A,13,ハードスナイプ,2,,attack,one_rear,,,,,,
チャム＝チャム,A,14,炎の英雄譚,1,,song_dance,defup,guard_fire,,,,,
ヤーウッド,A,15,地の利,2,,area,obstacle,,,,,,
ティフォ,A,16,レオファング,1,,attack,one_rear,add_slow,,,,,
リーニャ,A,17,ヒールウィンド,2,,heal,all_cycle,cure_blind,,,,,
クラリス,A,18,ヘイトアロー,3,,attack,range_random,add_down,,,,,
フィリップ,A,19,レインアロー,2,,attack,range_random,,,,,,
ウィリアム＝マサチューセッツ,A,20,ラピッドショット,2,,attack,range_random,,,,,,
イッシー,A,21,ティルレーシア,1,,attack,one_rear,add_blind,,,,,
オネット,A,22,ティルーユ・シュート,1,,attack,one_rear,add_blind,,,,,
カルネロ,A,23,サンクションズ,2,,attack,one_line,add_blind,add_slow,add_push,,,
アルミルス,A,24,プレヘンデーレ,2,,attack,one_line,add_freeze,,,,,
ムジカ,A,25,伝説の歌声,3,,song_dance,atkdefup,,,,,,
サーシャ,A,26,太陽の舞,2,,song_dance,atkup,guard_element,guard_debuff,,,,
ハジャダ,A,27,エスピアツィオーネ,3,,attack,range_random,add_blind,,,,,
ファルリン,A,28,砂城の詩,1,,song_dance,defup,,,,,,
ブリサ,A,29,アンラッキーギフト,2,,attack,range_random,add_poison,,,,,
カタリス,A,30,ダークフレイザー,2,,attack,range_random,fire,,,,,
ニーナ,A,31,サドゥンインパクト,3,,attack,one_rear,,,,,,
ティグレ,A,32,タイガーファング,2,,attack,one_rear,add_poison,,,,,
パロマ,A,33,プリマヴェーラ,1,,attack,one_line,add_slow,,,,,
アルティナ,A,34,翠の森の精霊詩,2,,song_dance,defup,guard_blind,,,,,
グレタ,A,35,アローサービス,2,,attack,range_random,,,,,,
,,,,,,,,,,,,,
カトリ,P,1,キュア,1,,heal,one_worst,,,,,,
マリナ,P,2,ヒール,1,,heal,all_instant,,,,,,
ローザ,P,3,ハイヒール,2,,heal,all_instant,,,,,,
ラティ,P,4,ヒール,1,,heal,all_instant,,,,,,
ケイト,P,5,オートヒール,1,,heal,all_cycle,,,,,,
メルヴィナ,P,6,解毒薬調合,1,,heal,all_instant,cure_poison,,,,,
ヨハン,P,7,オートヒール,1,,heal,all_cycle,,,,,,
ロイ,P,8,キュア,1,,heal,one_worst,,,,,,
ミノリ,P,9,禊ぎの障壁,1,,barrier,all,guard_element,,,,,
ウィヴェア,P,10,オープンヒール,1,,heal,all_instant,cure_seal,,,,,
セレージャ,P,11,ブライトヒール,1,,heal,all_instant,cure_blind,,,,,
ヴァネッサ,P,12,ハイヒール,2,,heal,all_instant,,,,,,
ライラ,P,13,勇気の歌,1,,song_dance,defup,,,,,,
パポラ,P,14,ウォームヒール,1,,heal,all_instant,cure_freeze,,,,,
オリアーナ,P,15,ナチュラルハイヒール,2,,heal,all_instant,cure_poison,,,,,
アデル,P,16,ハイヒール,2,,heal,all_instant,,,,,,
アリエッタ,P,17,ヘイストヒール,1,,heal,all_instant,cure_slow,,,,,
ノエル,P,18,オートハイヒール,2,,heal,all_cycle,,,,,,
メイド長,P,19,毒針・二式,1,,attack,one_combo,add_poison,,,,,
スミレ,P,20,癒しの湯,2,,heal,all_instant,cure_blind,,,,,
マリエール,P,21,オーロラヒール,1,,heal,all_instant,,,,,,
タノウェイ,P,22,オラクル,2,,heal,one_worst,,,,,,
ヘロディア,P,23,セルフプロデュース,1,,buff,all,atkup,,,,,
フィーナ,P,24,クロノス,3,,attack,range_all,,,,,,
リリス,P,25,セイントヒール,2,,heal,all_cycle,,,,,,
メイド姉,P,26,自由への演説,2,,heal,all_instant,cure_blind,atkup,,,,
,,,,,,,,,,,,,
ヨッタ＝ヨッタ,M,1,プチファイア,1,,buff,all,add_fire,,,,,
クリスティン,M,2,プチマジック,1,,attack,one_line,,,,,,
ゲッベルツ,M,3,ランダムディフェンス,1,,buff,random,defup,,,,,
ミーナ,M,4,マジックランス,1,,attack,range_line,,,,,,
カルデア,M,5,ヒール,1,,heal,all_instant,,,,,,
チャーノ,M,6,プチプロテクション,1,,barrier,all,,,,,,
ハキム,M,7,守りの応援歌,1,,song_dance,defup,,,,,,
リーゼロッテ,M,8,マジックレイン,1,,attack,range_all,,,,,,
パルナ,M,9,アイススピア,1,,attack,range_line,ice,,,,,
プルナ,M,10,ファイアスピア,1,,attack,range_line,fire,,,,,
シエン,M,11,トライダークネス,1,,attack,range_line,add_blind,,,,,
ゴルネッサ,M,12,砂蛇の舞,2,,song_dance,add_slow,,,,,,
クラウス,M,13,アイススピア,1,,attack,range_line,ice,,,,,
ミニモ,M,14,スパイラルランサー,2,,attack,range_line,,,,,,
トト,M,15,エンハンスファイア,1,,buff,all,add_fire,atkup,,,,
フィオナ,M,16,ヘイトフレア,2,,attack,range_all,fire,,,,,
ビルギット,M,17,マジックランス,1,,attack,range_line,,,,,,
ネルヴァ,M,18,プロテクション,2,,barrier,all,,,,,,
アイザック,M,19,マインドミラージュ,1,,attack,one_line,add_blind,,,,,
ウーヴィア,M,20,クールシザーズ,1,,attack,one_combo,ice,,,,,
ヨナ,M,21,ヒール,1,,heal,all_instant,,,,,,
ルンデルハウス＝コード,M,22,オーブ・オブ・ラーヴァ,1,,attack,range_line,fire,,,,,
マリク,M,23,ブライトスクリーン,1,,barrier,all,guard_blind,,,,,
ディ・ロ,M,24,オーバーリミット,2,,attack,range_explosion,,,,,,
メラヒム,M,25,アイスランサー,3,,attack,range_line,ice,,,,,
ロクサーナ,M,26,声なき歌,1,,song_dance,atkup,,,,,,
パボア,M,27,クジャクファイアー,1,,attack,range_line,fire,,,,,
フィ＝フィ,M,28,レッドフレイム,2,,attack,one_line,fire,,,,,
シャクティ,M,29,ディベート,2,,barrier,all,,,,,,
フェブリア,M,30,ファイアシュート,1,,attack,range_line,fire,,,,,
ミラジェン,M,31,涼風の旋律,1,,song_dance,atkup,guard_ice,,,,,
アイリ,M,32,禁術・暗黒源流呪術,2,,attack,range_line,add_poison,,,,,
ナイエル,M,33,恋愛の歌,2,,song_dance,add_blind,,,,,,
クリオラ,M,34,カガクのちから,1,,attack,range_all,add_push,,,,,
エレミア,M,35,メイド式治療術,2,,heal,all_instant,cure_blind,,,,,
ビエンタ,M,36,全軍突撃命令,2,,buff,all,atkup,,,,,
イザヤ,M,37,破滅の進撃,2,,barrier,all,,,,,,
リック,M,38,火炎魔法剣・陣,2,,attack,range_self,fire,,,,,
火竜公女,M,39,火竜の吐息,1,,attack,range_line,fire,,,,,
ルカナ,M,40,フリージング,2,,attack,one_line,ice,,,,,
レベッカ,M,41,バーニングランス,1,,attack,one_combo,fire,,,,,
ミイナ,M,42,シュポル・ボンボン,2,,attack,range_explosion,,,,,,
ブルワリー,M,43,アイスクラッシュ,2,,attack,range_drop,ice,,,,,
フィリアナ,M,44,アルディスペル,2,,attack,range_forward,,,,,,
シューレ,M,45,ブラウニーカット,2,,attack,one_short,add_push,,,,,
アエル・グルン,M,46,ブルーレンブリッツ,3,,attack,one_line,,,,,,
イスレム,M,47,アイスストーム,1,,attack,range_forward,ice,,,,,
アルドラ,M,48,ユニヴェール,3,,attack,range_all,,,,,,
ヴェルナー,M,49,ヴォルケーノ,2,,attack,range_line,fire,add_down,,,,
カティア,M,50,ソードスペル,2,,attack,range_forward,,,,,,
ユニ,M,51,アブソリュートゼロ,2,,attack,one_combo,ice,,,,,
メフルナーシュ,M,52,精霊の舞,2,,song_dance,defup,guard_fire,,,,,
イザベル,M,53,ブリザードニードル,2,,attack,range_line,ice,,,,,
チアリー,M,54,トリックマジック,2,,attack,range_all,add_push,,,,,
カレン,M,55,フレイムソード,1,,attack,one_short,add_push,,,,,
ミスティ,M,56,紅き情熱の唄,3,,song_dance,atkdefup,,,,,,
魔王,M,57,魔王の戦闘指揮,2,,buff,all,atkup,defup,,,,
ロビン,M,58,チャームロリータ,2,,attack,range_line,add_blind,,,,,
シロエ,M,59,ソーンバインド・ホステージ,2,,attack,one_line,add_curse,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
フラウ,M,60,プラスインパルス,1,,buff,all,atkup,,,,,
ルクレチア,A,36,剛弓彩花,2,,attack,range_forward,,,,,,
チワ,M,61,フォイヤーヴェルク,2,,attack,one_line,fire,add_push,,,,
オーロラ,K,47,黒薔薇の剣戟,2,,attack,range_dash,add_down,,,,,
ラスフィア,M,63,ライフエミッション,2,,attack,range_explosion,,,,,,
ミジョカ,M,62,ダウンバースト,2,,attack,range_drop,add_down,,,,,
シェラザード,F,80,舞うエーデルローゼ,3,,attack,range_self,add_push,,,,,
ロロ,K,48,炎牙,2,,attack,range_forward,fire,,,,,
ハティ,M,64,石板大回転,2,,attack,range_self,,,,,,
ハティファス,M,65,イグノランス,3,,attack,range_drop,add_slow,,,,,
ソロ,A,37,グレイファング,2,,attack,range_random,,,,,,
,,,,,,,,,,,,,
# チェインストーリーフェス,,,,,,,,,,,,,
,,,,,,,,,,,,,
アオイ,P,27,法術森羅万象,2,,heal,all_instant,cure_weaken,defup,,,,
ルーク,F,81,殲滅槌,3,,attack,one_short,add_push,,,,,
オルドレード,K,49,ベルセルクオーダー,1,,buff,all,atkup,defdown,,,,
カデッサ,K,50,闇を喰らう灰牙,2,,attack,one_combo,,,,,,
,,,,,,,,,,,,,
# 2部,,,,,,,,,,,,,
,,,,,,,,,,,,,
主人公,F,82,クロノブレード,3,,attack,range_dash,add_push,,,,,
カイン,K,51,エフォルスラッシュ,2,,attack,range_forward,,,,,,
ミシディア,A,38,オーラショット,2,,attack,one_line,,,,,,
マリナ,P,28,エンジェルヒール,1,,heal,all_instant,,,,,,
,,,,,,,,,,,,,
イナミ,M,66,ルクルフレイム,1,,attack,range_line,fire,charge,,,,
,,,,,,,,,,,,,
オルカ,K,52,ブルーオーシャン,2,,attack,range_jump,add_push,,,,,
ルーラ,F,83,オリジナルエイト,3,,attack,range_short,,,,,,
サーポ,M,67,竜神の怒り,2,,attack,range_line,,,,,,
,,,,either,フィールドが砂浜/船上/海中,attack,range_line2,add_push,,,,,
ライア,F,84,ラ・リュミエール,2,,attack,one_short,add_push,add_poison,,,,
,,,,,,,,,,,,,
ペイシェ,F,85,セイレーネスインパクト,2,,attack,one_short,add_push,,,,,
オルデル,K,53,ヘビーバッシュ,2,,attack,range_self,add_push,,,,,
アレグリア,A,39,セイクリッドレイン,2,,attack,range_random,,,,,,
フロル,P,29,ワールドゴスペル,2,,heal,all_instant,defup,,,,,
ステラ,M,68,クレセントシュート,2,,attack,one_line,,,,,,
ボニート,A,40,エレメンタルフェザー,2,,attack,range_forward,,,,,,
トゥバラオ,F,86,インファイト,2,,attack,range_explosion,,,,,,
ペローラ,K,54,アルシナシオン,2,,barrier,all,,,,,,
,,,,,,,,,,,,,
ヘリデ,F,87,スミスハンマー,1,,attack,one_short,add_push,,,,,
ボルサ,F,88,ブレイクスピン,1,,attack,range_self,,,,,,
トルトゥガ,F,89,スクリュー・ドライバー,3,,attack,one_short,,,,,,
ネブリナ,K,55,ディベルディード,1,,attack,range_dash,,,,,,
ミドア,M,69,ウォーターストリーム,1,,attack,one_line,ice,,,,,
タンボリル,A,41,ロングシュート,1,,attack,one_rear,,,,,,
,,,,,,,,,,,,,
#名前,職,index,スキル名,スキル・マナコスト,条件,スキル・カテゴリ,スキル・サブカテゴリ,スキル・追加効果1,スキル・追加効果2,スキル・追加効果3,スキル・追加効果4,スキル・追加効果5,備考
,,,,,,,,,,,,,
#モアネット救援,,,,,,,,,,,,,
,,,,,,,,,,,,,
クラウディア,M,70,パッションスペル,1,,attack,range_line,,,,,,
シェアラ,F,90,ウェルスエッジ,2,,attack,range_self,,,,,,
ベラ,M,71,ブルームーン,2,,attack,range_all,ice,charge,,,,
モアネット,F,91,オーダーアッパー,2,,attack,one_short,add_push,,,,,
,,,,,,,,,,,,,
マリーダ,F,92,グランドクラッシュ,3,,attack,one_short,,,,,,
パトリシア,A,42,ストライクアロー,2,,attack,one_rear,,,,,,
,,,,,,,,,,,,,
# 魔神アグダラ戦,,,,,,,,,,,,,
,,,,,,,,,,,,,
オルオレータ,A,43,ディ・アルカス,2,,attack,range_drop,,,,,,
アグダラ,F,93,フォルテスパーダ,2,,attack,range_dash,,,,,,
,,,,,,,,,,,,,
# ツル姫と夏祭り,,,,,,,,,,,,,
,,,,,,,,,,,,,
アンジェリカ,F,94,デモンスマイル,2,,attack,one_short,add_down,,,,,
ベルナデット,F,95,ラブボンバー,1,,attack,range_explosion,,,,,,
トウカ,F,96,無音の剣,2,,attack,one_dash,add_push,,,,,
ロレッタ,F,97,デストロイスマッシュ,3,,attack,one_short,add_down,,,,,
ソーニャ,F,98,プロミネンスドライブ,2,,attack,range_dash,fire,,,,,
リフレット,K,56,サンプレッシャー,2,,attack,range_self,add_push,,,,,
ツル,F,99,姫の一喝,1,,buff,all,atkup,,,,,
,,,,,,,,,,,,,
ユカチ,M,72,ストップ・ザ・タイム,2,,attack,range_all,add_slow,charge,,,,
カナーン,K,57,リュースブレード,1,,attack,range_forward,,,,,,
ソリティー,M,73,リバットブルー,2,,attack,range_explosion,,,,,,
,,,,,,,,,,,,,
範馬刃牙,F,100,エンドルフィン,2,,buff,self,atkup,,,,,
,,,,,,,,,,,,,
# 2部2章,,,,,,,,,,,,,
,,,,,,,,,,,,,
リンリー,F,101,六陽大招拳,3,,attack,one_combination,add_push,,,,,
モルガン,K,58,ヴァーミリオンヒット,1,,attack,range_self,,,,,,
バルトロ,A,44,ジェネラス・バースト,3,,attack,one_line,fire,shield_break,,,,
ミラ,A,45,クイックシルエット,2,,buff,self,atkup,delayoff,,,,
ヘリシティー,M,74,ヴォルテックス,3,,attack,range_forward,ice,,,,,
,,,,,,,,,,,,,
キオラ,F,102,アサルトステップ,2,,attack,range_dash,add_push,,,,,
グローリア,F,103,ファンデヴ・ジェーレ,1,,attack,one_short,add_push,,,,,
ティア,K,59,ヴィントシュトース,1,,attack,range_jump,add_push,,,,,
ヴィオレッタ,K,60,フォンダルテーレ,1,,attack,one_combo,,,,,,
コンスタンサ,A,46,バーストロアー,2,,attack,one_line,shield_break,,,,,
アラクネー,M,75,フォールンカーズ,1,,attack,one_line,add_curse,,,,,
,,,,,,,,,,,,,
ニウ,F,104,フリーダッシュ,1,,attack,range_dash,,,,,,
ロッタ,F,105,チアリングスマイル,1,,buff,random,atkup,defup,,,,
ガイ,F,106,バスタースマッシュ,2,,attack,one_short,add_push,,,,,
レン,F,107,バーニングナックル,1,,attack,one_short,fire,add_push,,,,
メイビア,F,108,メイビアボトム,2,,attack,one_short,add_down,,,,,
ガスパール,F,109,トリックダガー,2,,attack,one_combo,,,,,,
ディラン,F,110,ハードカットラス,2,,attack,one_short,,,,,,
ドミニック,F,111,スカットル,1,,attack,one_short,,,,,,
アーネスト,F,112,マグナムレイジ,3,,attack,one_short,,,,,,
アブエロ,K,61,海面断絶斬,3,,attack,range_forward,,,,,,
リュキシー,K,62,スラッシュウェーブ,2,,attack,range_forward,add_push,,,,,
シャントゥール,A,47,魅惑の歌,1,,song_dance,atkdefup,,,,,,
ヴィクトリア,A,48,エイミングショット,2,,attack,one_line,,,,,,
マリアン,A,49,バレージショット,1,,buff,self,atkup,delayoff,,,,
ラルダ,A,50,リビドーダンス,2,,song_dance,atkup,guard_fire,,,,,
ダビド,A,51,ハードスナイプ,2,,attack,one_rear,,,,,,
アメリア,P,30,ハイヒール,2,,heal,all_instant,,,,,,
ハンジ,P,31,キュア,1,,heal,one_worst,,,,,,
メレディス,M,76,シェルスクリーン,2,,barrier,all,guard_element,,,,,
ジーナ,M,77,ティンクルスター,1,,attack,range_all,,,,,,
,,,,,,,,,,,,,
ブロッサム,F,113,ダッシュアタック,2,,attack,one_dash,,,,,,
ジャン,A,52,ストレングスアロー,2,,attack,one_line,,,,,,
リスフィン,A,53,ハードスナイプ,2,,attack,one_rear,,,,,,
マール,P,32,ヒール,1,,heal,all_instant,,,,,,
ハヴェル,M,78,スパイラルランサー,2,,attack,range_line,,,,,,
,,,,,,,,,,,,,
リネイア,F,114,天昇斬,1,,attack,one_jump,add_push,,,,,
,,,,,,,,,,,,,
# アトリエ「黄昏シリーズ」コラボ,,,,,,,,,,,,,
,,,,,,,,,,,,,
ロジー,F,115,デュアルブラスト,1,,attack,one_combo,add_poison,,,,,
エスカ,M,79,エーテルスピア,2,,attack,range_line,,,,,,
シャルロッテ,F,116,バーニングフラム,2,,attack,range_self,fire,,,,,
アウィン,F,117,∞スパイラル,3,,attack,one_short,,,,,,
シャリステラ,M,80,イニシエイトグラム,2,,attack,range_drop,,,,,,
アーシャ,P,33,失われた神々の霊薬,1,,heal,all_instant,cure_poison,atkup,,,,
ウィルベル,M,81,シークレットアーツ,3,,attack,range_line,,,,,,
,,,,,,,,,,,,,
# ver2.1精霊島追加,,,,,,,,,,,,,
,,,,,,,,,,,,,
レアーオ,K,63,リュミエルシュペア,1,,attack,range_line,add_blind,,,,,
トレランシア,P,34,フォレストヒール,1,,heal,all_instant,atkup,cure_slow,,,,
キャン,F,118,マッハルーヴ,1,,attack,one_dash,add_slow,,,,,
コネリ,A,54,ホワイトインパクト,2,,attack,one_line,,,,,,
,,,,,,,,,,,,,
パメラス,K,64,ロイヤリティスラッシュ,3,,attack,one_short,,,,,,
メガドライブ,M,82,ショックトライアングル,2,,attack,one_combo,add_slow,,,,,
,,,,,,,,,,,,,
# 絶対絶望少女コラボ,,,,,,,,,,,,,
,,,,,,,,,,,,,
ジェノサイダー翔,F,119,チョッキンフィーバー,2,,attack,one_combination,,,,,,
苗木こまる,A,55,送電麻痺（シビレロ）,3,,attack,range_line,add_slow,,,,,
