#名前,職,index,名前,系統,条件,効果,対象,備考,武器名
,,,報復の太刀,buff_self,dropout_member,atkup,self,,
ヨシカゲ,F,39,修羅の躍動,buff_self,boss_wave,atkup,self,,
,,,鬼の闘気,buff_others,any,atkspeedup,fighter,,
ナズナ,F,40,復讐,buff_self,dropout_member,atkup,self,,
,,,オーガキラー,killer,vs_ogre,atkup,self,,
トウカ,F,41,オーガキラー,killer,vs_ogre,atkup,self,,
,,,生存目的,heal,wave_start,heal_all,all,,
ヴォルグ,F,42,ドラゴンキラー,killer,vs_dragon,atkup,self,,
,,,戦闘狂,buff_self,wave_start,atkup,self,,
エルダ,F,43,土妖精の肉体,heal,wave_start,heal_self,self,,
,,,強撃,add_debuff,attack,down,enemy,,
アンジェリカ,F,44,疾風,buff_self,any,speedup,self,,
,,,暗殺者の一撃,buff_self,any,crdamup,self,,
ベルナデット,F,45,全力の一撃,buff_self,any,crdamup,self,,
,,,恋の力,buff_self,hp_upto,atkup,self,,
ハサン,F,46,スロウ耐性,against_debuff,any,guard_slow,self,,
,,,後方攻撃支援,buff_all,in_sub,atkup,all,,
アイナ,F,47,秘境戦闘,field,in_cave,fullup,self,,
,,,,field,in_ruins,fullup,self,,
,,,夢への修行,resource,battle_end,expup,resource,,
アミル,F,48,覚醒,buff_self,hp_downto,atkdefup,self,,
,,,心の解放,buff_all,in_sub,atkup,all,,
イオ,F,49,市街戦闘,field,in_town,fullup,self,,
,,,,field,in_castle,fullup,self,,
,,,防衛本能,buff_self,hp_downto,defup,self,,
レイジ,F,50,ドラゴンキラー,killer,vs_dragon,atkup,self,,
,,,ハイテンション,killup,kill,atkdefup,self,,
キキョウ,F,51,プラス思考,in_debuff,in_poison,atkdefup,self,,
,,,,in_debuff,in_slow,atkdefup,self,,
,,,,in_debuff,in_blind,atkdefup,self,,
,,,電撃のアザ,heal,wave_start,heal_self,self,,
フィーンド,F,52,わがままボディ,buff_self,any,atkspeedup,self,,
,,,秘伝の体術,buff_self,any,crdamup,self,,
ソウジロウ＝セタ,F,53,電光石火,buff_self,any,speedup,self,,
,,,口伝天眼通,buff_self,any,defup,self,,
イブキ,F,54,窮鼠,buff_self,hp_downto,atkup,self,,
,,,祝福,resource,battle_end,expup,resource,,
ヒロチ,F,55,防衛本能,buff_self,hp_downto,defup,self,,
,,,イタズラ好き,buff_self,any,speedup,self,,
ヨシツグ,F,56,修羅の躍動,buff_self,boss_wave,atkup,self,,
,,,散り際の刀閃,buff_self,any,crdamup,self,,
,,,,add_debuff,critical,freeze,enemy,,
,,,,buff_self,hp_downto,atkdefup,self,,
オリョウ,F,57,巫女の秘術書,skillup,any,skill_atkup,self,,
,,,,add_debuff,critical,down,enemy,,
,,,魂纏,killup,kill,atkdefup,self,,
カミナヅキ,F,58,神無の瞳,for_debuff,for_slow,atkup,self,,
,,,,for_debuff,for_blind,atkup,self,,
,,,,for_debuff,for_curse,atkup,self,,
,,,,for_debuff,for_down,atkup,self,,
,,,吸精剣,mana,kill,mana_drop,resource,,
,,,,add_debuff,critical,slow,enemy,,
テレサ,F,59,殺人衝動,buff_self,hp_upto,defspeedup,self,,
,,,,buff_self,hp_downto,atkup,self,,
,,,加速する殺意,killup,kill,atkup,self,,
チヨメ,F,60,忍びの技,add_debuff,critical,slow,enemy,,
,,,,buff_self,any,crdamup,self,,
,,,,mana,kill,mana_drop,resource,クリティカル時のみ,
,,,隠形の術,buff_self,in_move,invisible,self,,
ヨシノ,F,61,鬼の剣術,add_debuff,critical,down,enemy,,
,,,マナの天分,mana,battle_start,mana_charge,resource,2個,
ソーニャ,F,62,炎刀使いの用心棒,buff_self,boss_wave,atkup,self,,
,,,真実の炎,skillup,any,skill_atkup,self,,
,,,紅焔の加護,element,attack,fire,self,,妖刀　紅焔
,,,,for_debuff,for_freeze,atkup,self,,
,,,,buff_self,union,atkdefup,self,条件：魔,
ボクデン,F,63,達人の歩法,buff_self,any,atkspeedup,self,,
,,,,add_debuff,critical,push,enemy,,
,,,,counter,defend,counterattack,enemy,,
,,,鬼の剣術,add_debuff,critical,down,enemy,,
サプラス,F,64,魔神の刃,heal,critical,absorb,self,,
,,,デモンズスライサー,buff_self,any,crdamup,self,,
ミーム,F,65,守備意識,buff_self,hp_downto,defup,self,,
,,,バリケード作成,buff_self,wave_start,defup,self,,
,,,,heal,wave_start,heal_self,self,,
セリーヌ,F,66,マナの素養,mana,battle_start,mana_charge,resource,,
,,,衛生兵！,heal,wave_start,heal_one,hp_worst,,
コロパティロン,F,67,魔神の再生力,heal,any,heal_cycle,self,,
,,,魔神の切断欲求,killup,kill,atkup,self,,
ヨルデ,F,68,土妖精の肉体,heal,wave_start,heal_self,self,,
,,,吸魂刀,mana,kill,mana_drop,resource,,
キキ,F,69,炎の武器,element,attack,fire,self,,
,,,荒ぶる炎,buff_self,any,atkup,self,,
,,,,buff_self,hp_downto,atkdefup,self,,
,,,果てぬ炎,buff_self,any,atkup,self,,ヴァイユマン
,,,,invincible,dropout_self,invincible,self,,
,,,,heal,dropout_self,heal_self,self,,
,,,,buff_self,dropout_self,fullup,self,,
ロレッタ,F,70,商才,resource,battle_end,goldup,resource,,
,,,破壊魔人の本性,buff_self,hp_downto,atkspeedup,self,,
,,,強奪魔人,resource,battle_end,goldup,resource,,ハンマーヘッド
,,,,skillup,skill,skill_atkup,self,,
,,,,add_debuff,attack,down,enemy,,
ニンファ,F,71,天運,mana,wave_start,mana_boost,resource,,
,,,ハッピートレジャー,resource,battle_start,treasure,resource,,
,,,幸運の使者,mana,battle_start,mana_charge,resource,2個,フォーチュネイト
,,,,mana,kill,mana_drop,resource,,
リンセ,F,72,リンクス,buff_self,any,speedup,self,,
,,,再生,heal,any,heal_cycle,self,,
フーコ,F,73,すごうでのくのいち,skillup,any,skill_atkup,self,,
,,,おいろけのじゅつ,buff_self,any,crdamup,self,,
スルスタン,F,74,暗殺者の突撃,buff_self,any,atkspeedup,self,,
,,,闇の刃,heal,attack,absorb,self,,
サクヤ,F,75,マナの天分,mana,battle_start,mana_charge,resource,2個,
,,,師の導き,buff_all,in_sub,atkup,all,,
勇者,F,76,治療魔法,heal,wave_start,heal_self,self,,
,,,勇者の使命,buff_self,boss_wave,atkspeedup,self,,
にゃん太,F,77,ライトニングステップ,buff_self,any,speedup,self,,
,,,ピンポイント,buff_self,any,crdamup,self,,
アカツキ,F,78,ヴェノムストライク,add_debuff,attack,poison,enemy,,
,,,アクセルファング,killup,kill,atkspeedup,self,,
カノ,F,79,マナの素養,mana,battle_start,mana_charge,resource,,
,,,リーダーシップ,buff_others,any,fullup,jobs,対象：騎/弓/僧/魔,
,,,,,,,,,
セルバンテス,K,1,強気,buff_self,hp_upto,atkdefup,self,,
ベアトリクス,K,2,,,,,,,
アントン,K,3,,,,,,,
ハーマン,K,4,,,,,,,
バクストン,K,5,,,,,,,
ロベルタ,K,6,,,,,,,
カイン,K,7,毒耐性,against_debuff,any,guard_poison,self,,
ナックル,K,8,,,,,,,
ギスゴ,K,9,砂上戦闘,field,in_desert,fullup,self,,
,,,,field,in_beach,fullup,self,,
エリーナ,K,10,快速のお守り,against_debuff,any,guard_slow,self,,
ルアンナ,K,11,,,,,,,
アルベルト,K,12,防衛本能,buff_self,hp_downto,defup,self,,
メリッサ,K,13,商才,resource,battle_end,goldup,resource,,
ラヒーム,K,14,砂上戦闘,field,in_desert,fullup,self,,
,,,,field,in_beach,fullup,self,,
ラビィ,K,15,神速,buff_self,any,speedup,self,,
カディル,K,16,リザードキラー,killer,vs_lizard,atkup,self,,
マリス,K,17,覚醒,buff_self,hp_downto,atkdefup,self,,
ライネル,K,18,防衛本能,buff_self,hp_downto,defup,self,,
スレイ,K,19,防衛本能,buff_self,hp_downto,defup,self,,
オデット,K,20,窮鼠,buff_self,hp_downto,atkup,self,,
カイ,K,21,窮鼠,buff_self,hp_downto,atkup,self,,
トーマス,K,22,防衛本能,buff_self,hp_downto,defup,self,,
フィーンド,K,23,遺失文明の機械鎧,buff_self,any,defup,self,,
ダナディ,K,24,応急処置,heal,wave_start,heal_self,self,,
,,,気合の叫び,buff_others,any,atkspeedup,knight,,
ファン＝ファン,K,25,炎の武器,element,attack,fire,self,,
,,,疾風,buff_self,any,speedup,self,,
ムスタファ,K,26,大盗賊,resource,battle_end,goldup,resource,,
,,,義賊の粘り,heal,wave_start,heal_self,self,,
イルヘルミナ,K,27,マナの素養,mana,battle_start,mana_charge,resource,,
,,,守護の境地,buff_self,any,guardup,self,,
アルヴェルト,K,28,守護者,buff_self,any,guardup,self,,
,,,死地を探す騎士,buff_self,any,atkup,self,防御力低下,
ローエンディア,K,29,守護者,buff_self,any,guardup,self,,
,,,奥義,skillup,any,skill_atkup,self,,
女騎士,K,30,光壁,buff_self,any,guardup,self,,
,,,湖畔修道会の癒し手,heal,wave_start,heal_all,all,,
直継,K,31,シールドマスタリー,buff_self,any,guardup,self,,
,,,アイアンバウンス,buff_self,any,defup,self,,
クラスティ,K,32,レジリアンス,heal,wave_start,heal_self,self,,
,,,スカーレットスラスト,heal,attack,absorb,self,,
ゴトリ,K,33,強気,buff_self,hp_upto,atkdefup,self,,
,,,観察眼,for_debuff,for_blind,atkup,self,,
ザレン,K,34,魔神の威圧,buff_self,any,defup,self,,
,,,,buff_self,hp_downto,defup,self,,
,,,抗えない復讐心,heal,attack,absorb,self,,
,,,,killer,vs_black,atkup,self,,
スティッチア,K,35,美針の剣術,buff_self,any,critup,self,,
,,,,add_debuff,critical,slow,enemy,,
,,,クロススティッチ,buff_all,union,atkdefup,jobs,条件：騎＋弓3名以上　対象：騎/弓,
,,,,buff_weapons,any,atkspeedup,weapons,対象：弓,
アレス,K,36,大正義の天命,mana,wave_start,mana_boost,resource,,
,,,,mana,kill,mana_drop,resource,スキルの場合のみ,
,,,騎士道大原則,buff_self,hp_downto,atkdefup,self,,
,,,,buff_self,hp_downto,atkup,self,WAVE開始時に判定,
シンフォニア,K,37,眩い光,heal,wave_start,heal_all,all,,
,,,絢爛たる勇姿,buff_self,wave_start,atkspeedup,self,,
ユリアナ,K,38,騎士の結束,buff_others,any,atkdefup,knight,,
,,,王家の風格,buff_self,union,atkdefup,self,条件：騎3名以上,
,,,,buff_all,in_sub,atkdefup,all,,
ジャファール,K,39,砂上戦闘,field,in_desert,fullup,self,,
,,,,field,in_beach,fullup,self,,
,,,空漠の孤鷹,add_debuff,skill,blind,enemy,,
,,,,add_debuff,attack,poison,enemy,,
,,,砂塵の先導者,buff_self,any,atkup,self,,サハルサクル
,,,,field,in_desert,atkdefup,all,,
,,,,field,in_beach,atkdefup,all,,
バリエナ,K,40,マナの天分,mana,battle_start,mana_charge,resource,2個,
,,,銀狼の毛皮,against_debuff,any,guard_all,self,,
,,,,buff_self,any,defup,self,,
リフレット,K,41,ゴーレムキラー,killer,vs_golem,atkup,self,,
,,,不倒の向日葵,against_debuff,any,guard_down,self,,
,,,,against_debuff,any,guard_poison,self,,
,,,,buff_self,any,defup,self,,
,,,,heal,wave_start,heal_self,self,,
,,,岩砕の一撃,killer,vs_golem,atkup,self,,サーグリス
,,,,invincible,dropout_self,invincible,self,,
,,,,heal,dropout_self,heal_self,self,,
,,,,buff_self,dropout_self,atkdefup,self,,
フィー・グレア,K,42,竜への知識,killer,vs_dragon,atkdefup,self,,
,,,竜騎士の魂,skillup,any,skill_atkup,self,,
,,,稲妻の片翼,killer,vs_dragon,atkup,self,,竜魂槍ソルドラン
,,,,buff_self,union,atkup,self,条件：魔,
,,,,buff_jobs,wave_start,atkup,magician,一番遠い対象,
パーシェル,K,43,信仰心,buff_self,wave_start,defup,self,,
,,,神の恩寵,heal,wave_start,heal_all,all,,
ウェイン,K,44,守護者,buff_self,any,guardup,self,,
,,,騎士の結束,buff_others,any,atkdefup,knight,,
,,,聖域の誇り,buff_self,any,atkdefup,self,,ラールディン
,,,,buff_self,guard,atkup,self,条件：3回以上,
ディード,K,45,神速,buff_self,any,speedup,self,,
,,,自由の槍,add_debuff,attack,down,enemy,,
ミリエル,K,46,白鋼の槍術,for_debuff,for_slow,atkup,self,,
,,,白鋼の鎧,buff_self,boss_wave,defup,self,,
,,,,,,,,,
ミシディア,A,1,市街戦闘,field,in_town,fullup,self,,
,,,,field,in_castle,fullup,self,,
オットー,A,2,,,,,,,
サビオ,A,3,,,,,,,
パトリシア,A,4,商才,resource,battle_end,goldup,resource,,
ワーグマン,A,5,荒地戦闘,field,in_wasteland,fullup,self,,
,,,,field,in_battlefield,fullup,self,,
ミル,A,6,暗闇特効,for_debuff,for_blind,atkup,self,,
シェダ,A,7,土妖精の肉体,heal,wave_start,heal_self,self,,
コロナ,A,8,マナの素養,mana,battle_start,mana_charge,resource,,
フェイスレス,A,9,奥義,skillup,any,skill_atkup,self,,
キリエ,A,10,復讐,buff_self,dropout_member,atkup,self,,
エマ,A,11,旅の秘訣,resource,battle_end,ap_recover,resource,,
ニキ,A,12,祝福,resource,battle_end,expup,resource,,
エンヴィ,A,13,大商才,resource,battle_end,goldup,resource,,
チャム＝チャム,A,14,プラス思考,in_debuff,in_poison,atkdefup,self,,
,,,,in_debuff,in_slow,atkdefup,self,,
,,,,in_debuff,in_blind,atkdefup,self,,
ヤーウッド,A,15,万全の態勢,buff_self,hp_full,atkup,self,,
,,,戦術家の戦い方,buff_self,boss_wave,atkup,self,,
ティフォ,A,16,痺れ薬,add_debuff,attack,slow,enemy,,
,,,万全の態勢,buff_self,hp_full,atkup,self,,
リーニャ,A,17,マナの素養,mana,battle_start,mana_charge,resource,,
,,,慈愛,heal,wave_start,heal_all,all,,
クラリス,A,18,キルアップ,killup,kill,atkup,self,,
,,,衝動,buff_self,dropout_member,atkup,self,,
フィリップ,A,19,森林戦闘,field,in_forest,fullup,self,,
,,,後方攻撃支援,buff_all,in_sub,atkup,all,,
ウィリアム＝マサチューセッツ,A,20,影王狼の革鎧,against_debuff,any,guard_blind,self,,
,,,サイレントスナイパー,buff_self,any,crdamup,self,,
イッシー,A,21,荒地戦闘,field,in_wasteland,fullup,self,,
,,,,field,in_battlefield,fullup,self,,
,,,破魔の呪符,skillup,any,skill_atkup,self,,
オネット,A,22,マシナリーメンテナンス,against_debuff,any,guard_poison,self,,
,,,,against_debuff,any,guard_blind,self,,
,,,,against_debuff,any,guard_slow,self,,
,,,オートマタシミュレート,buff_jobs,any,atkdefup,archer,,
,,,,buff_weapons,any,critup,weapons,対象：弓,
カルネロ,A,23,覚醒,buff_self,hp_downto,atkdefup,self,,
,,,豹の祝福,combat,attack,combat,self,,
,,,,buff_self,combat,delayoff,self,,
,,,,buff_self,any,maxhpup,self,,
アルミルス,A,24,魔神の波動,mana,wave_start,mana_boost,resource,,
,,,喪失への怒り,buff_self,dropout_member,atkup,self,,
ムジカ,A,25,吸魂,mana,kill,mana_drop,resource,,
,,,響く音色,heal,wave_start,heal_all,all,,
サーシャ,A,26,後方防御支援,buff_all,in_sub,defup,all,,
,,,流星の矢,for_debuff,for_poison,atkup,self,,
,,,,for_debuff,for_blind,atkup,self,,
,,,,for_debuff,for_slow,atkup,self,,
ハジャダ,A,27,目潰し,add_debuff,attack,blind,enemy,,
,,,大物喰い,buff_self,boss_wave,atkup,self,,
,,,狩人の本能,mana,battle_start,mana_charge,resource,,テンペステイド
,,,,buff_self,in_combo,atkspeedup,self,,
ファルリン,A,28,旅の秘訣,resource,battle_end,ap_recover,resource,,
,,,英雄を書き記す詩,skillup,skill,skill_boost,self,,
ブリサ,A,29,毒薬,add_debuff,attack,poison,enemy,,
,,,酔弓,buff_self,wave_start,atkspeedup,self,,
カタリス,A,30,魔神の再生力,heal,any,heal_cycle,self,,
,,,黒龍への愛,buff_self,hp_upto,atkup,self,,
,,,,buff_self,wave_start,atkup,self,条件：HP4/5以上,
ニーナ,A,31,暗殺者の身体,against_debuff,any,guard_slow,self,,
,,,,against_debuff,any,guard_blind,self,,
,,,芽生えた感情,heal,wave_start,heal_one,hp_worst,,
ティグレ,A,32,毒薬,add_debuff,attack,poison,enemy,,
,,,白虎の猛襲,buff_self,boss_wave,atkup,self,,
パロマ,A,33,手当,heal,wave_start,heal_one,hp_worst,,
,,,守護獣探し,resource,battle_end,expup,resource,,
アルティナ,A,34,エルフの掟,buff_self,hp_upto,atkdefup,self,,
,,,マナの天分,mana,battle_start,mana_charge,resource,2個,
グレタ,A,35,お色直し,heal,wave_start,heal_all,all,,
,,,空回る女子力,buff_self,any,atkup,self,,
,,,,,,,,,
カトリ,P,1,,,,,,,
マリナ,P,2,ダウン耐性,against_debuff,any,guard_down,self,,
ローザ,P,3,,,,,,,
ラティ,P,4,広き心,buff_self,heal,areaup,self,,
ケイト,P,5,敬虔な祈り,buff_self,heal,healup,self,,
メルヴィナ,P,6,毒耐性,against_debuff,any,guard_poison,self,,
ヨハン,P,7,広き心,buff_self,heal,areaup,self,,
ロイ,P,8,敬虔な祈り,buff_self,heal,healup,self,,
ミノリ,P,9,快癒の祈祷,heal,wave_start,heal_all,all,,
ウィヴェア,P,10,封印耐性,against_debuff,any,guard_seal,self,,
,,,友愛のヴィンテージ,buff_self,heal,healareaup,self,,
セレージャ,P,11,森林戦闘,field,in_forest,fullup,self,,
,,,再生,heal,any,heal_cycle,self,,
ヴァネッサ,P,12,癒しの基準,buff_self,heal,healup,self,効果範囲減少,
,,,,buff_self,combat,healdelayoff,self,,
,,,慈愛,heal,wave_start,heal_all,all,,
ライラ,P,13,慈愛,heal,wave_start,heal_all,all,,
,,,祝福,resource,battle_end,expup,resource,,
パポラ,P,14,山地戦闘,field,in_upland,fullup,self,,
,,,,field,in_snow,fullup,self,,
,,,凍結耐性,against_debuff,any,guard_freeze,self,,
オリアーナ,P,15,広き心,buff_self,heal,areaup,self,,
,,,手当,heal,wave_start,heal_one,hp_worst,,
アデル,P,16,敬虔な祈り,buff_self,heal,healup,self,,
,,,マナの素養,mana,battle_start,mana_charge,resource,,
アリエッタ,P,17,手当,heal,wave_start,heal_one,hp_worst,,
,,,安らぎの花,buff_self,heal,healareaup,self,,
ノエル,P,18,敬虔な祈り,buff_self,heal,healup,self,,
,,,広き心,buff_self,heal,areaup,self,,
メイド長,P,19,手当,heal,wave_start,heal_one,hp_worst,,
,,,メイド道,skillup,any,skill_atkup,self,,
,,,,buff_self,combat,healdelayoff,self,,
スミレ,P,20,広き心,buff_self,heal,areaup,self,,
,,,電撃の湯,resource,battle_end,expup,resource,,
マリエール,P,21,聖衣エウカリスト,buff_self,heal,healareaup,self,,
,,,セイクリッドウォール,buff_others,any,defup,all,,
タノウェイ,P,22,広き心,buff_self,heal,areaup,self,,
,,,ぴぱぴぴぴ,mana,wave_start,mana_boost,resource,,
ヘロディア,P,23,強引な取材,buff_self,heal,healup,self,,
,,,,buff_self,combat,healdelayoff,self,,
,,,英雄資質,buff_all,in_sub,defup,all,,
フィーナ,P,24,手当,heal,wave_start,heal_one,hp_worst,,
,,,義勇軍への声援,buff_all,in_sub,atkdefup,all,,
リリス,P,25,聖女の祈り,buff_self,heal,healareaup,self,,
,,,選別者の奇跡,heal,wave_start,heal_one,hp_worst,,
メイド姉,P,26,メイドの嗜み,buff_self,heal,healup,self,,
,,,勇者を継ぐ者,heal,wave_start,heal_all,all,,
,,,,,,,,,
ヨッタ＝ヨッタ,M,1,,,,,,,
クリスティン,M,2,,,,,,,
ゲッベルツ,M,3,,,,,,,
ミーナ,M,4,,,,,,,
カルデア,M,5,光明のお守り,against_debuff,any,guard_blind,self,,
チャーノ,M,6,,,,,,,
ハキム,M,7,,,,,,,
リーゼロッテ,M,8,,,,,,,
パルナ,M,9,一心同体の絆,buff_self,same_abilities,atkdefup,self,,
プルナ,M,10,一心同体の絆,buff_self,same_abilities,atkdefup,self,,
シエン,M,11,毒特効,for_debuff,for_poison,atkup,self,,
ゴルネッサ,M,12,リザードキラー,killer,vs_lizard,atkup,self,,
クラウス,M,13,氷の武器,element,attack,ice,self,,
ミニモ,M,14,手当,heal,wave_start,heal_one,hp_worst,,
トト,M,15,炎の武器,element,attack,fire,self,,
フィオナ,M,16,復讐,buff_self,dropout_member,atkup,self,,
ビルギット,M,17,マナの素養,mana,battle_start,mana_charge,resource,,
ネルヴァ,M,18,マナの素養,mana,battle_start,mana_charge,resource,,
アイザック,M,19,手当,heal,wave_start,heal_one,hp_worst,,
ウーヴィア,M,20,慈愛,heal,wave_start,heal_all,all,,
ヨナ,M,21,炎の武器,element,attack,fire,self,,
ルンデルハウス＝コード,M,22,魔術師の籠手,mana,battle_start,mana_charge,resource,,
マリク,M,23,マナの素養,mana,battle_start,mana_charge,resource,,
,,,癒しの絨毯,heal,wave_start,heal_one,hp_worst,,
ディ・ロ,M,24,死霊との疎通,mana,kill,mana_drop,resource,,
,,,墓守の悲哀,buff_self,hp_downto,atkup,self,,
メラヒム,M,25,氷の武器,element,attack,ice,self,,
,,,研究オーラ,against_debuff,any,guard_poison,self,,
,,,,against_debuff,any,guard_blind,self,,
ロクサーナ,M,26,旅の秘訣,resource,battle_end,ap_recover,resource,,
,,,演奏話術,buff_all,in_sub,defspeedup,all,,
パボア,M,27,森林戦闘,field,in_forest,fullup,self,,
,,,強気,buff_self,hp_upto,atkdefup,self,,
フィ＝フィ,M,28,炎の武器,element,attack,fire,self,,
,,,祝祭の炎,skillup,any,skill_atkup,self,,
シャクティ,M,29,強気,buff_self,hp_upto,atkdefup,self,,
,,,商人式管理術,resource,battle_end,goldup,resource,,
フェブリア,M,30,剣術の心得,combat,attack,combat,self,,
,,,炎の武器,element,attack,fire,self,,
ミラジェン,M,31,後方防御支援,buff_all,in_sub,defup,all,,
,,,手当,heal,wave_start,heal_one,hp_worst,,
アイリ,M,32,荒レタ地デ狂ウ黒竜,field,in_wasteland,atkspeedup,self,,
,,,,field,in_battlefield,atkspeedup,self,,
,,,湧キ出ズル煉獄ノ炎,buff_self,wave_start,atkup,self,,
ナイエル,M,33,暗闇耐性,against_debuff,any,guard_blind,self,,
,,,慈愛,heal,wave_start,heal_all,all,,
クリオラ,M,34,魔導探知機,resource,battle_start,treasure,resource,,
,,,カガクブースター,buff_self,any,atkup,self,,
エレミア,M,35,マナの素養,mana,battle_start,mana_charge,resource,,
,,,メイドオブメイド,skillup,any,skill_boost,self,,
ビエンタ,M,36,重圧魔法,add_debuff,attack,slow,enemy,,
,,,戦術指揮,buff_all,in_sub,atkdefup,all,,
イザヤ,M,37,強気,buff_self,hp_upto,atkdefup,self,,
,,,魔導探知機,resource,battle_start,treasure,resource,,
リック,M,38,復讐,buff_self,dropout_member,atkup,self,,
,,,霊刃使い,combat,attack,combat,self,,
火竜公女,M,39,炎の武器,element,attack,fire,self,,
,,,竜の教え,resource,battle_end,goldup,resource,,
ルカナ,M,40,氷の武器,element,attack,ice,self,,
,,,凍結,add_debuff,attack,freeze,enemy,,
レベッカ,M,41,剣術の心得,combat,attack,combat,self,,
,,,気分屋の本気,buff_self,hp_downto,atkup,self,,
ミイナ,M,42,窮鼠,buff_self,hp_downto,atkup,self,,
,,,気配り上手,buff_all,in_sub,defup,all,,
ブルワリー,M,43,癒しの雫,heal,wave_start,heal_one,hp_worst,,
,,,,buff_one,wave_start,defup,hp_worst,,
,,,フルアップマジック,buff_self,hp_full,atkspeedup,self,,
フィリアナ,M,44,生徒会長の自信,buff_self,hp_upto,atkdefup,self,,
,,,カリスマによる戦略,buff_jobs,any,atkdefup,magician,,
シューレ,M,45,マジカルコンポート,combat,attack,combat,self,,
,,,,buff_self,hp_upto,atkup,self,,
,,,もぐもぐ,buff_self,wave_start,atkup,self,,
アエル・グルン,M,46,魔神の再生力,heal,any,heal_cycle,self,,
,,,竜魂の解放,buff_self,hp_full,atkup,self,,
イスレム,M,47,氷の武器,element,attack,ice,self,,
,,,凍結,add_debuff,attack,freeze,enemy,,
,,,砕けぬ氷,buff_self,any,atkspeedup,self,,フロアレーヌ
,,,,add_debuff,critical,freeze,enemy,,
,,,,add_debuff,skill,freeze,enemy,,
アルドラ,M,48,剣術の心得,combat,attack,combat,self,,
,,,マナの天分,mana,battle_start,mana_charge,resource,2個,
,,,万象を司る者,buff_self,attack,atkup,self,近接時のみ,ヴァルプリエル
,,,,buff_self,combat,delayoff,self,,
,,,,buff_self,any,maxhpup,self,,
ヴェルナー,M,49,戦闘狂,buff_self,wave_start,atkup,self,,
,,,破壊の愉悦,killup,kill,atkup,self,,
,,,極炎強化刻印,buff_self,any,critdamup,self,,真赭の瞳
,,,,mana,wave_start,mana_boost,resource,,
カティア,M,50,剣術の心得,combat,attack,combat,self,,
,,,守る者のために,heal,any,heal_cycle,self,,
,,,,buff_self,any,maxhpup,self,,
,,,戦闘継続魔法,buff_self,in_enemy_area,atkup,self,,ウィズダム
,,,,heal,in_enemy_area,heal_cycle,self,,
,,,,heal,attack,absorb,self,,
ユニ,M,51,魔法戦士の戦闘技能,combat,attack,combat,self,,
,,,,buff_self,combat,delayoff,self,,
,,,貫通魔法,pierce,attack,pierce,enemy,,
,,,氷術強化刻印,buff_self,in_pierce,atkup,self,,スィネスティ
,,,,buff_self,hp_upto,atkspeedup,self,,
